SmartScore,Ticker,Price,Market Capitalization,Sector,Industry
7,WM,213.97,85929935886.00002,Industrial Services,Environmental Services
,WLYB,37.95,2077172975.0,Consumer Services,Publishing: Books/Magazines
4,WLY,37.95,2077172975.0,Consumer Services,Publishing: Books/Magazines
2,WLK,152.35,19533739124.0,Process Industries,Chemicals: Specialty
5,WKC,26.46,1583572967.0,Distribution Services,Wholesale Distributors
6,WK,84.37,4617603848.0,Technology Services,Information Technology Services
10,WIX,136.54,7597876848.0,Technology Services,Information Technology Services
6,WIT,5.7,29528907531.51402,Technology Services,Information Technology Services
9,WIRE,253.19,3991265934.0,Producer Manufacturing,Electrical Products
9,WING,365.88,10734158033.0,Consumer Services,Restaurants
6,WINA,359.19,1256241835.9999998,Retail Trade,Apparel/Footwear Retail
4,WHR,117.89,6420533004.0,Consumer Durables,Electronics/Appliances
5,WHD,49.8,3951964098.0,Industrial Services,Oilfield Services/Equipment
8,WH,76.7,6213514316.0,Consumer Services,Hotels/Resorts/Cruise lines
7,WGO,72.23,2114073590.0,Consumer Durables,Recreational Products
6,WFRD,116.49,8424459736.000002,Industrial Services,Oilfield Services/Equipment
10,WFG,86.79,7289541480.872858,Non-Energy Minerals,Forest Products
7,WFC/PZ,21.44,206096528182.0,Finance,Major Banks
7,WFC/PY,24.8,206096528182.0,Finance,Major Banks
7,WFC/PL,1206.0,206096528182.0,Finance,Major Banks
7,WFC/PD,19.33,206096528182.0,Finance,Major Banks
7,WFC/PC,20.3,206096528182.0,Finance,Major Banks
7,WFC/PA,21.47,206096528182.0,Finance,Major Banks
7,WFC,57.61,206096528182.0,Finance,Major Banks
6,WF,33.46,8096643504.525157,Finance,Major Banks
5,WEX,233.88,9760935752.999998,Commercial Services,Miscellaneous Commercial Services
10,WES,35.14,13370194968.0,Industrial Services,Oil & Gas Pipelines
5,WERN,38.57,2447987461.0,Transportation,Trucking
4,WEN,18.9,3883307675.0,Consumer Services,Restaurants
8,WELL,92.8,52791884939.0,Finance,Real Estate Investment Trusts
6,WEC,81.18,25617282092.0,Utilities,Electric Utilities
7,WDS,19.99,37549474422.72528,Energy Minerals,Oil & Gas Production
8,WDFC,249.71,3386546699.0,Process Industries,Industrial Specialties
7,WDC,67.64,22041152697.0,Electronic Technology,Computer Peripherals
6,WDAY,273.62,72235678711.0,Technology Services,Information Technology Services
6,WD,100.8,3378945732.0,Finance,Finance/Rental/Leasing
10,WCN,171.69,44241057795.11549,Transportation,Trucking
7,WCC/PA,26.47,8705423185.0,Distribution Services,Wholesale Distributors
7,WCC,170.85,8705423184.999998,Distribution Services,Wholesale Distributors
5,WBS/PG,23.53,8726775122.0,Finance,Savings Banks
5,WBS/PF,20.9,8726775122.0,Finance,Savings Banks
5,WBS,50.81,8726775121.999998,Finance,Savings Banks
6,WBD,8.64,21078898728.0,Consumer Services,Cable/Satellite TV
4,WBA,21.02,18127133158.0,Health Technology,Pharmaceuticals: Major
2,WB,9.5,2134274688.49182,Technology Services,Internet Software/Services
8,WAT,345.19,20436154363.0,Health Technology,Medical Specialties
10,WAL/PA,18.1,7075781802.0,Finance,Regional Banks
10,WAL,64.22,7075781802.000001,Finance,Regional Banks
,WAFDP,15.68,2362313942.0,Finance,Major Banks
5,WAFD,28.87,2362313942.0000005,Finance,Major Banks
3,WABC,48.81,1301822044.0,Finance,Regional Banks
5,WAB,145.87,25823184768.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
3,W,67.59,8135158556.0,Retail Trade,Specialty Stores
7,VZIO,11.06,2189278390.0,Technology Services,Internet Software/Services
8,VZ,41.54,174645481876.0,Communications,Wireless Telecommunications
8,VYX,12.61,1819499460.0,Electronic Technology,Electronic Equipment/Instruments
9,VVX,46.37,1452575453.0,Commercial Services,Miscellaneous Commercial Services
7,VVV,44.5,5769388062.0,Consumer Services,Other Consumer Services
6,VTRS,11.83,14048942264.999998,Health Technology,Pharmaceuticals: Major
6,VTR,43.63,18056782438.0,Finance,Real Estate Investment Trusts
4,VTMX,39.15,3460635369.61392,Finance,Real Estate Development
9,VTLE,50.76,1861777807.0,Energy Minerals,Oil & Gas Production
7,VTEX,8.22,1513724236.0,Technology Services,Information Technology Services
9,VSTS,18.96,2491949572.0,Consumer Non-Durables,Apparel/Footwear
7,VSTO,33.12,1925826408.9999995,Consumer Durables,Recreational Products
9,VST,68.3,23760555566.0,Utilities,Electric Utilities
3,VSH,22.88,3146126021.0,Electronic Technology,Electronic Production Equipment
6,VSEC,79.94,1260580077.9999998,Industrial Services,Engineering & Construction
2,VSCO,18.94,1469287824.0,Retail Trade,Apparel/Footwear Retail
2,VSAT,18.09,2267047923.0000005,Electronic Technology,Telecommunications Equipment
7,VRTX,417.32,107797013110.0,Health Technology,Pharmaceuticals: Major
4,VRTS,247.61,1754992340.0,Finance,Investment Managers
10,VRT,81.01,30943427698.0,Electronic Technology,Electronic Production Equipment
3,VRSN,189.1,19080190904.0,Technology Services,Internet Software/Services
7,VRSK,233.93,33543196521.0,Technology Services,Data Processing Services
6,VRRM,25.16,4177077487.0,Transportation,Other Transportation
6,VRNT,31.09,1959150928.0,Technology Services,Information Technology Services
4,VRNS,47.31,5161697220.0,Technology Services,Information Technology Services
6,VRNA,16.5,1327293194.0,Health Technology,Pharmaceuticals: Major
6,VRE,14.92,1376059819.0,Finance,Real Estate Investment Trusts
9,VRDN,17.51,1099060174.0,Health Technology,Pharmaceuticals: Major
8,VOYA/PB,24.4787,7459074022.0,Finance,Life/Health Insurance
8,VOYA,73.41,7459074022.0,Finance,Life/Health Insurance
7,VOD,8.83,23746810109.1104,Communications,Wireless Telecommunications
9,VNT,44.74,6885485985.0,Transportation,Other Transportation
5,VNOM,37.86,6695740946.000001,Energy Minerals,Integrated Oil
5,VNO/PO,13.08,5231936384.0,Finance,Real Estate Investment Trusts
5,VNO/PN,15.17,5231936384.0,Finance,Real Estate Investment Trusts
5,VNO/PM,15.7,5231936384.0,Finance,Real Estate Investment Trusts
5,VNO/PL,15.76,5231936384.0,Finance,Real Estate Investment Trusts
5,VNO,27.48,5231936384.0,Finance,Real Estate Investment Trusts
2,VMI,225.42,4557177444.0,Producer Manufacturing,Metal Fabrication
8,VMC,272.79,36070234962.0,Non-Energy Minerals,Construction Materials
,VLYPP,21.75,4020188733.0,Finance,Major Banks
,VLYPO,22.65,4020188733.0,Finance,Major Banks
5,VLY,7.9,4020188733.0,Finance,Major Banks
8,VLTO,89.74,22124666898.0,Technology Services,Information Technology Services
7,VLO,167.81,55793787343.00001,Energy Minerals,Oil Refining/Marketing
9,VKTX,83.34,9113753035.0,Health Technology,Pharmaceuticals: Major
8,VIV,10.11,16578526349.4775,Communications,Specialty Telecommunications
10,VIST,42.24,3975173077.337551,Energy Minerals,Oil & Gas Production
6,VIRT,20.27,3204989542.0,Finance,Investment Banks/Brokers
4,VIR,10.1,1363826002.0000002,Health Technology,Biotechnology
9,VIPS,16.46,8926307162.0,Retail Trade,Internet Retail
1,VICR,38.54,1714178383.0,Electronic Technology,Electronic Components
8,VICI,29.75,31019713440.0,Finance,Real Estate Investment Trusts
4,VIAV,9.58,2132180162.0,Technology Services,Information Technology Services
5,VGR,10.91,1720321658.0000002,Consumer Non-Durables,Tobacco
4,VFS,4.73,11058102603.0,Consumer Durables,Motor Vehicles
8,VFC,15.09,5867233182.0,Consumer Non-Durables,Apparel/Footwear
8,VET,12.24,1968192082.5831325,Energy Minerals,Oil & Gas Production
8,VERX,30.66,4731898438.0,Technology Services,Packaged Software
7,VERV,13.19,1036062130.0,Health Technology,Biotechnology
6,VERA,43.83,2407004177.0,Health Technology,Biotechnology
10,VEEV,233.39,37649678691.0,Technology Services,Packaged Software
8,VECO,34.86,1963055912.0000005,Electronic Technology,Electronic Production Equipment
2,VCYT,21.72,1630472948.9999998,Health Technology,Medical Specialties
10,VCTR,42.41,2727678193.0000005,Finance,Investment Managers
9,VCEL,52.33,2531749499.0,Health Technology,Pharmaceuticals: Major
3,VC,117.14,3220351489.0000005,Producer Manufacturing,Auto Parts: OEM
7,VBTX,20.58,1121513747.0,Finance,Regional Banks
9,VALE,12.17,52227932859.99601,Non-Energy Minerals,Steel
6,VAL,73.77,5341702612.0,Industrial Services,Contract Drilling
4,VAC,105.3,3704434858.0,Consumer Services,Other Consumer Services
7,V,279.02,560541986164.0,Commercial Services,Miscellaneous Commercial Services
,UZF,18.4,3059150143.0,Communications,Wireless Telecommunications
,UZE,18.54,3059150143.0,Communications,Wireless Telecommunications
,UZD,20.09,3059150143.0,Communications,Wireless Telecommunications
7,UWMC,7.21,11511325102.999998,Finance,Finance/Rental/Leasing
6,UVV,51.46,1264538922.0,Consumer Non-Durables,Tobacco
8,UTZ,18.31,2577239169.0,Consumer Non-Durables,Food: Specialty/Candy
10,UTHR,243.27,11447933167.0,Health Technology,Pharmaceuticals: Major
,UTG,26.89,2087380000.0,Miscellaneous,Investment Trusts/Mutual Funds
N/A,UTF,23.49,2185620000.0,Miscellaneous,Investment Trusts/Mutual Funds
3,USPH,110.97,1672143266.0,Health Services,Medical/Nursing Services
1,USM,35.99,3059150143.0,Communications,Wireless Telecommunications
6,USLM,297.45,1698208815.0000002,Non-Energy Minerals,Construction Materials
7,USFD,54.5,13347210167.0,Distribution Services,Food Distributors
9,USB/PS,20.97,68565723145.0,Finance,Major Banks
9,USB/PR,18.85,68565723145.0,Finance,Major Banks
9,USB/PQ,17.91,68565723145.0,Finance,Major Banks
9,USB/PP,24.84,68565723145.0,Finance,Major Banks
9,USB/PH,21.15,68565723145.0,Finance,Major Banks
9,USB/PA,881.5,68565723145.0,Finance,Major Banks
9,USB,44.0,68565723144.99999,Finance,Major Banks
6,USAC,26.66,2746031038.0,Industrial Services,Oilfield Services/Equipment
,USA,7.13,1938210000.0,Miscellaneous,Investment Trusts/Mutual Funds
4,URI,720.15,48388052185.99999,Finance,Finance/Rental/Leasing
5,URBN,42.78,3969450050.999999,Retail Trade,Apparel/Footwear Retail
8,UPWK,12.28,1687180072.9999998,Commercial Services,Personnel Services
1,UPST,28.17,2434740636.9999995,Technology Services,Internet Software/Services
10,UPS,147.33,125621382110.0,Transportation,Air Freight/Couriers
4,UPBD,35.0,1904554005.0,Finance,Finance/Rental/Leasing
1,UP,3.01,2098937625.0000005,Transportation,Airlines
8,UNP,244.63,149169983889.0,Transportation,Railroads
,UNMA,25.12,10284517035.0,Finance,Multi-Line Insurance
7,UNM,53.7,10284517035.000002,Finance,Multi-Line Insurance
7,UNIT,5.87,1401473400.0,Finance,Real Estate Investment Trusts
4,UNH,493.1,454605731573.0001,Health Services,Managed Health Care
4,UNF,172.07,3094380484.0,Consumer Services,Other Consumer Services
8,UMH/PD,23.21,1098624473.0,Finance,Real Estate Investment Trusts
8,UMH,15.84,1098624473.0,Finance,Real Estate Investment Trusts
5,UMC,7.98,20145202270.390133,Electronic Technology,Semiconductors
3,UMBF,85.61,4172794208.0,Finance,Major Banks
9,ULTA,513.52,24786965133.000004,Retail Trade,Specialty Stores
5,ULCC,7.96,1778060150.0000002,Transportation,Airlines
9,UL,50.14,125312462966.44644,Consumer Non-Durables,Household/Personal Care
4,UI,115.92,7008661392.0,Electronic Technology,Telecommunications Equipment
8,UHS,181.85,10905498610.0,Health Services,Hospital/Nursing Management
,UHAL.B,65.49,12857218252.000002,Finance,Finance/Rental/Leasing
2,UHAL,66.31,12857218252.0,Finance,Finance/Rental/Leasing
8,UGP,5.66,6151419464.566,Retail Trade,Specialty Stores
,UGIC,56.89,5062762695.0,Distribution Services,Wholesale Distributors
6,UGI,24.16,5062762695.0,Distribution Services,Wholesale Distributors
4,UFPT,252.15,1926900726.0,Process Industries,Industrial Specialties
6,UFPI,121.79,7493727922.0,Non-Energy Minerals,Forest Products
10,UEC,6.7,2707740678.9999995,Non-Energy Minerals,Other Metals/Minerals
6,UE,17.04,2006070223.0,Finance,Real Estate Investment Trusts
7,UDR,37.01,12184583040.0,Finance,Real Estate Investment Trusts
6,UDMY,11.08,1751622438.9999998,Technology Services,Packaged Software
9,UCTT,46.26,2065656523.0000005,Producer Manufacturing,Industrial Machinery
,UCBIO,23.38,3092529757.0,Finance,Regional Banks
1,UCBI,25.97,3092529756.9999995,Finance,Regional Banks
4,UBSI,35.37,4773275695.999999,Finance,Regional Banks
8,UBS,31.4,100644351709.23186,Finance,Investment Managers
7,UBER,78.11,162195206498.99997,Transportation,Other Transportation
6,UAL,47.24,15495943069.999998,Transportation,Airlines
7,UAA,7.26,3098652477.0,Consumer Non-Durables,Apparel/Footwear
6,UA,6.97,3098652477.0,Consumer Non-Durables,Apparel/Footwear
6,U,26.99,10416586471.000002,Technology Services,Packaged Software
2,TYL,420.6,17781344029.0,Technology Services,Data Processing Services
,TY,30.63,1631020000.0,Miscellaneous,Investment Trusts/Mutual Funds
9,TXT,96.25,18517243710.0,Electronic Technology,Aerospace & Defense
9,TXRH,154.27,10309572775.0,Consumer Services,Restaurants
6,TXN,172.87,157188553118.0,Electronic Technology,Semiconductors
5,TXG,36.89,4396053724.0,Health Technology,Biotechnology
7,TX,41.89,8223328495.0,Non-Energy Minerals,Steel
8,TWST,34.48,1993565430.0000005,Health Technology,Biotechnology
6,TWO/PC,23.69,1361103647.0,Finance,Real Estate Investment Trusts
6,TWO/PB,23.08,1361103647.0,Finance,Real Estate Investment Trusts
6,TWO/PA,23.42,1361103647.0,Finance,Real Estate Investment Trusts
6,TWO,13.16,1361103647.0,Finance,Real Estate Investment Trusts
7,TWLO,61.01,11107536932.999998,Technology Services,Packaged Software
8,TW,104.4,24612311844.0,Finance,Investment Banks/Brokers
2,TV,3.14,1747472895.1619997,Communications,Major Telecommunications
7,TUYA,1.82,1087614646.3028202,Technology Services,Packaged Software
5,TU,15.91,23352475596.033348,Communications,Wireless Telecommunications
8,TTWO,146.92,25062555122.0,Technology Services,Packaged Software
5,TTMI,15.53,1582635671.0,Electronic Technology,Electronic Components
9,TTEK,184.64,9872032569.0,Industrial Services,Engineering & Construction
10,TTE,68.42,158451072154.6095,Energy Minerals,Integrated Oil
9,TTD,87.21,42640190468.0,Technology Services,Packaged Software
3,TTC,90.1,9407052459.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
9,TT,299.71,68055813071.0,Producer Manufacturing,Industrial Machinery
8,TSN,58.81,20545122806.0,Consumer Non-Durables,Food: Meat/Fish/Dairy
10,TSM,136.69,630769971198.9668,Electronic Technology,Semiconductors
8,TSLX,21.24,1950458523.0000005,Finance,Investment Managers
6,TSLA,179.83,572720886364.0,Consumer Durables,Motor Vehicles
10,TSEM,32.99,3656116835.0,Electronic Technology,Semiconductors
9,TSCO,260.44,28105782489.000004,Retail Trade,Specialty Stores
8,TS,39.75,23518277169.849,Non-Energy Minerals,Steel
1,TRVG,2.71,1347243034.0,Technology Services,Internet Software/Services
3,TRV,228.83,52430866211.0,Finance,Multi-Line Insurance
2,TRUP,27.74,1159941703.0,Finance,Multi-Line Insurance
9,TRU,78.6,15266382620.0,Commercial Services,Financial Publishing/Services
5,TRS,26.48,1086422630.0,Producer Manufacturing,Miscellaneous Manufacturing
8,TRP,39.64,41126015529.94053,Industrial Services,Oil & Gas Pipelines
4,TROX,17.71,2776817115.0,Process Industries,Chemicals: Specialty
5,TROW,120.86,27031136928.000004,Finance,Investment Managers
6,TRNO,65.33,5892587030.0,Finance,Real Estate Investment Trusts
3,TRN,28.04,2295322403.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
4,TRMK,28.06,1714025453.0,Finance,Regional Banks
7,TRMD,34.27,3139170148.421649,Transportation,Marine Shipping
10,TRMB,63.3,15551999245.000002,Technology Services,Packaged Software
5,TRIP,27.85,3840506482.999999,Consumer Services,Other Consumer Services
10,TRI,155.95,70390117379.90858,Technology Services,Internet Software/Services
10,TRGP,111.05,24781403963.0,Utilities,Gas Distributors
8,TREX,99.25,10780893436.0,Non-Energy Minerals,Forest Products
4,TR,31.96,2969289758.9999995,Consumer Non-Durables,Food: Specialty/Candy
8,TPX,56.23,9761770220.000002,Consumer Durables,Home Furnishings
7,TPR,46.68,10706811947.0,Retail Trade,Apparel/Footwear Retail
6,TPL,576.33,13258625456.0,Miscellaneous,Investment Trusts/Mutual Funds
8,TPH,37.93,3640210759.0,Consumer Durables,Homebuilding
3,TPG,44.98,17199628157.0,Finance,Investment Managers
4,TOWN,27.77,2019553113.0,Finance,Regional Banks
5,TOST,24.33,13405829958.000002,Technology Services,Packaged Software
7,TOL,127.42,13273340975.999998,Consumer Durables,Homebuilding
7,TNL,48.41,3438639052.9999995,Consumer Services,Hotels/Resorts/Cruise lines
9,TNK,57.31,1954271047.0,Transportation,Marine Shipping
8,TNET,132.26,6688105848.999999,Commercial Services,Miscellaneous Commercial Services
6,TNDM,35.3,2316775748.9999995,Health Technology,Medical Specialties
5,TNC,121.5,2309229527.0,Producer Manufacturing,Industrial Machinery
9,TMUS,162.01,192284425634.0,Communications,Wireless Telecommunications
9,TMO,579.37,220920897496.0,Health Technology,Medical Specialties
6,TMHC,61.31,6525159850.0,Consumer Durables,Homebuilding
10,TME,11.06,18548553975.754017,Technology Services,Internet Software/Services
8,TMDX,74.12,2424859368.9999995,Health Technology,Medical Specialties
9,TM,252.15,345101413814.74,Consumer Durables,Motor Vehicles
7,TLRY,2.48,1841958255.9999995,Process Industries,Agricultural Commodities/Milling
4,TLK,22.27,21780810036.782368,Communications,Wireless Telecommunications
8,TKR,88.14,6181441494.999999,Producer Manufacturing,Industrial Machinery
9,TKO,86.39,14853765634.999998,Consumer Services,Movies/Entertainment
6,TKC,5.06,4456189124.418241,Communications,Wireless Telecommunications
8,TJX,101.08,115198541104.99998,Retail Trade,Apparel/Footwear Retail
3,TIXT,8.33,2281006513.3622675,Technology Services,Information Technology Services
4,TIMB,18.03,8692955910.8915,Communications,Wireless Telecommunications
7,TILE,17.32,1008040710.9999998,Producer Manufacturing,Building Products
5,TIGO,19.8,3408110966.2818,Communications,Wireless Telecommunications
4,THS,39.16,2118555932.0000005,Consumer Non-Durables,Food: Specialty/Candy
4,THRM,56.88,1794233096.0,Producer Manufacturing,Auto Parts: OEM
8,THR,31.87,1074488573.0000002,Producer Manufacturing,Electrical Products
6,THO,114.63,6112592655.0,Consumer Durables,Recreational Products
4,THG,135.54,4855178501.000001,Finance,Property/Casualty Insurance
10,THC,104.87,10486476213.0,Health Services,Hospital/Nursing Management
7,TH,10.96,1101703933.0,Consumer Services,Hotels/Resorts/Cruise lines
9,TGTX,15.57,2404331203.0000005,Health Technology,Pharmaceuticals: Major
7,TGT,174.67,80643429195.0,Retail Trade,Specialty Stores
6,TGS,15.05,2875880678.808045,Utilities,Gas Distributors
3,TGNA,14.85,2615181232.9999995,Consumer Services,Broadcasting
6,TGLS,52.68,2475786587.0,Producer Manufacturing,Building Products
9,TGI,14.51,1115326746.0000002,Electronic Technology,Aerospace & Defense
1,TFX,223.87,10534534038.999998,Health Technology,Medical Specialties
3,TFSL,12.6,3536956765.9999995,Finance,Savings Banks
6,TFPM,14.35,2885488693.884892,Non-Energy Minerals,Precious Metals
,TFINP,22.18,1850970027.0,Finance,Savings Banks
3,TFIN,79.34,1850970027.0000005,Finance,Savings Banks
10,TFII,159.0,13426235718.32878,Transportation,Trucking
7,TFC/PR,21.83,51501859960.0,Finance,Regional Banks
7,TFC/PO,23.9,51501859960.0,Finance,Regional Banks
7,TFC/PI,21.8,51501859960.0,Finance,Regional Banks
7,TFC,38.59,51501859960.00001,Finance,Regional Banks
8,TEX,64.52,4322839775.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
9,TEVA,14.43,15934807006.00632,Health Technology,Pharmaceuticals: Generic
8,TER,111.54,17074611623.000004,Electronic Technology,Electronic Production Equipment
5,TEO,7.72,4179738727.00408,Communications,Major Telecommunications
6,TENB,48.01,5670935639.000001,Technology Services,Packaged Software
8,TEL,144.93,44754238436.0,Electronic Technology,Semiconductors
6,TEF,4.41,25458200800.0776,Communications,Specialty Telecommunications
7,TECK,43.92,22741152428.83543,Energy Minerals,Coal
6,TECH,69.42,10912246201.0,Health Technology,Biotechnology
6,TEAM,193.14,50101827530.0,Technology Services,Packaged Software
10,TDY,429.01,20324933459.0,Electronic Technology,Aerospace & Defense
5,TDW,92.2,4819395177.000001,Transportation,Marine Shipping
4,TDS/PV,16.52,1681159964.0,Communications,Wireless Telecommunications
4,TDS/PU,19.16,1681159964.0,Communications,Wireless Telecommunications
4,TDS,15.86,1681159964.0,Communications,Wireless Telecommunications
4,TDOC,15.27,2550685163.0,Health Services,Medical/Nursing Services
3,TDG,1233.8,68607009026.0,Electronic Technology,Aerospace & Defense
N/A,TDCX,7.2,1053988345.0,Technology Services,Information Technology Services
5,TDC,39.37,3834637956.0,Technology Services,Packaged Software
5,TD,60.64,107460138135.01302,Finance,Major Banks
10,TCOM,43.64,29302116699.883743,Consumer Services,Other Consumer Services
9,TCN,11.15,3050093321.538969,Finance,Real Estate Development
4,TCBK,36.63,1218610566.0000002,Finance,Regional Banks
,TCBIO,20.99,2882762292.0,Finance,Major Banks
5,TCBI,60.77,2882762292.0,Finance,Major Banks
10,TBLA,4.4,1498912651.0,Technology Services,Internet Software/Services
,TBC,24.86,125531502575.0,Communications,Wireless Telecommunications
7,TBBK,33.78,1781860659.0,Finance,Regional Banks
7,TBBB,24.5,2748918475.9999995,Retail Trade,Food Retail
,TBB,24.14,125531502575.0,Communications,Wireless Telecommunications
6,TASK,11.5,1019669951.0,Commercial Services,Miscellaneous Commercial Services
6,TARS,34.57,1296379736.0,Health Technology,Pharmaceuticals: Major
5,TARO,42.26,1588436398.0000002,Health Technology,Pharmaceuticals: Major
,TAP.A,67.7,14394538641.654415,Consumer Non-Durables,Beverages: Alcoholic
7,TAP,67.34,14316931454.0,Consumer Non-Durables,Beverages: Alcoholic
9,TALO,13.65,2503854738.0,Energy Minerals,Oil & Gas Production
8,TAL,11.26,7189330960.0,Commercial Services,Miscellaneous Commercial Services
8,TAK,14.19,45630860273.35355,Health Technology,Pharmaceuticals: Major
9,TAC,6.45,1983518691.994286,Utilities,Electric Utilities
10,T/PC,20.65,125531502575.0,Communications,Wireless Telecommunications
10,T/PA,22.08,125531502575.0,Communications,Wireless Telecommunications
