Ticker,GFValue,SmartScore,Price,Market Capitalization,Sector,Industry
BCPC,143.67,8.0,143.43,4624334763.0,Consumer Non-Durables,Food: Specialty/Candy
BCRX,22.76,4.0,5.32,1089585894.0,Health Technology,Biotechnology
BDC,74.69,8.0,84.23,3510842159.0,Producer Manufacturing,Electrical Products
BDX,261.25,5.0,240.71,69541655720.0,Health Technology,Medical Specialties
BE,21.67,3.0,11.52,2581041899.0,Producer Manufacturing,Electrical Products
BEAM,0.0,2.0,28.11,2291078929.0,Health Technology,Biotechnology
BECN,82.85,9.0,86.33,5470589198.0,Distribution Services,Wholesale Distributors
BEKE,52.8,7.0,13.41,16536559571.550478,Finance,Real Estate Development
BEN,26.7,3.0,26.83,14127549017.000002,Finance,Investment Managers
BEPC,41.31,8.0,25.4,4563167525.0,Utilities,Electric Utilities
BF.A,80.74,2.0,58.56,27352772091.0,Consumer Non-Durables,Beverages: Alcoholic
BF.B,78.97,7.0,56.93,27352772091.0,Consumer Non-Durables,Beverages: Alcoholic
BFAM,110.9,2.0,99.0,5732585815.000001,Commercial Services,Miscellaneous Commercial Services
BG,97.47,8.0,86.5,12567410194.0,Process Industries,Agricultural Commodities/Milling
BGC,5.26,7.0,7.28,3612655307.0,Finance,Investment Banks/Brokers
BGNE,458.48,6.0,142.88,15584377691.8753,Health Technology,Pharmaceuticals: Major
BHC,9.53,10.0,8.13,2969035988.9451056,Health Technology,Pharmaceuticals: Other
BHP,58.53,8.0,60.04,152663488170.02042,Non-Energy Minerals,Steel
BIIB,245.05,8.0,240.3,34819014305.99999,Health Technology,Pharmaceuticals: Major
BILI,24.99,6.0,9.73,3979582374.527759,Technology Services,Packaged Software
BILL,267.63,8.0,75.75,8086743633.000001,Technology Services,Packaged Software
BIO,475.23,7.0,326.11,9478644096.0,Health Technology,Medical Specialties
BIP,61.51,7.0,30.75,20062265403.0,Utilities,Alternative Power Generation
BIPC,46.96,5.0,35.94,4736556044.201323,Utilities,Gas Distributors
BJ,74.72,5.0,66.66,8891177729.0,Retail Trade,Specialty Stores
BKE,36.95,4.0,38.75,1954758667.9999995,Retail Trade,Apparel/Footwear Retail
BKH,74.85,9.0,51.25,3484571457.0,Utilities,Electric Utilities
BKR,31.97,10.0,29.32,29345840808.000004,Industrial Services,Contract Drilling
BL,74.62,9.0,61.75,3783410986.0,Technology Services,Packaged Software
BLCO,0.0,5.0,13.88,4869878182.0,Health Technology,Medical Specialties
BLD,287.27,9.0,390.92,12421070204.0,Industrial Services,Engineering & Construction
BLDR,88.0,9.0,185.25,22849989372.0,Retail Trade,Home Improvement Chains
BLK,736.45,8.0,793.2,117998390188.99998,Finance,Investment Managers
BLKB,71.94,3.0,80.67,4344290073.999999,Technology Services,Packaged Software
BLMN,25.79,5.0,27.35,2374364266.9999995,Consumer Services,Restaurants
BMBL,28.78,1.0,12.96,2439953288.0,Technology Services,Packaged Software
BMI,157.29,6.0,146.43,4297262300.0,Producer Manufacturing,Industrial Machinery
BMRN,103.69,8.0,88.15,16604655294.999998,Health Technology,Biotechnology
BMY,71.41,9.0,48.71,99113045238.0,Health Technology,Pharmaceuticals: Major
BN,47.66,8.0,40.53,66466152345.42362,Finance,Investment Managers
BNL,18.34,8.0,16.04,3003602267.0,Finance,Real Estate Investment Trusts
BNTX,40.91,7.0,94.1,22369028187.0,Health Technology,Biotechnology
BOOT,88.97,6.0,84.73,2567400650.0,Retail Trade,Apparel/Footwear Retail
BORR,6.62,3.0,6.29,1655345104.6344512,Industrial Services,Contract Drilling
BOWL,0.0,9.0,14.82,2218875660.0,Consumer Services,Movies/Entertainment
BOX,32.37,7.0,27.05,3884146439.000001,Technology Services,Information Technology Services
BP,43.18,9.0,36.21,101918332985.8946,Energy Minerals,Integrated Oil
BPMC,61.91,10.0,74.16,4508165190.0,Health Technology,Biotechnology
BR,187.63,4.0,199.0,23436671143.0,Technology Services,Information Technology Services
BRBR,14.24,9.0,58.86,7709429638.999999,Consumer Non-Durables,Beverages: Non-Alcoholic
BRC,56.25,9.0,61.45,2969948762.0000005,Producer Manufacturing,Miscellaneous Manufacturing
BRDG,0.0,7.0,9.36,2341630087.0,Finance,Investment Managers
BRFS,2.35,4.0,2.87,4878380570.909301,Consumer Non-Durables,Food: Meat/Fish/Dairy
BRKR,86.04,10.0,70.95,9820275946.0,Health Technology,Medical Specialties
BRO,79.21,9.0,79.95,22753596388.0,Finance,Insurance Brokers/Services
BROS,0.0,7.0,26.39,4674052452.0,Consumer Non-Durables,Food: Specialty/Candy
BRP,43.77,6.0,23.19,2708688436.0,Finance,Multi-Line Insurance
BRX,23.64,9.0,22.86,6871634002.0,Finance,Real Estate Investment Trusts
BSM,13.64,9.0,16.02,3364054651.0,Miscellaneous,Investment Trusts/Mutual Funds
BSX,54.11,10.0,65.02,95253175962.99998,Distribution Services,Medical Distributors
BTG,3.54,8.0,2.66,3459393596.4788737,Non-Energy Minerals,Precious Metals
BTI,38.34,5.0,31.46,69884457461.028,Consumer Non-Durables,Tobacco
BTU,21.33,4.0,25.98,3405978098.9999995,Energy Minerals,Coal
BUD,72.9,6.0,65.61,129490109358.226,Consumer Non-Durables,Beverages: Alcoholic
BURL,220.46,8.0,199.95,12901825725.000002,Retail Trade,Apparel/Footwear Retail
BWA,45.19,7.0,31.48,7399544512.000001,Producer Manufacturing,Trucks/Construction/Farm Machinery
BWXT,66.47,7.0,83.84,7672431716.000001,Electronic Technology,Aerospace & Defense
BXP,104.95,7.0,65.07,10212097826.0,Finance,Real Estate Investment Trusts
BYD,74.41,5.0,65.5,6409968963.999999,Consumer Services,Casinos/Gaming
BZ,0.0,1.0,14.3,6428636613.44366,Technology Services,Internet Software/Services
CAAP,11.46,8.0,16.32,2624967461.0,Transportation,Other Transportation
CABO,1262.83,1.0,486.69,2733606905.0,Consumer Services,Cable/Satellite TV
CACC,582.5,1.0,555.93,6986181571.000001,Finance,Finance/Rental/Leasing
CACI,348.33,7.0,355.36,7919235176.0,Technology Services,Information Technology Services
CAE,27.91,8.0,20.65,6572351634.326611,Commercial Services,Miscellaneous Commercial Services
CAH,94.91,9.0,102.73,24987342757.0,Distribution Services,Medical Distributors
CALM,72.65,1.0,55.5,2718535042.0,Process Industries,Agricultural Commodities/Milling
CALX,66.02,7.0,34.26,2256605028.0,Electronic Technology,Telecommunications Equipment
CAMT,40.23,10.0,79.19,3552833612.9999995,Electronic Technology,Electronic Components
CAR,298.29,3.0,166.14,6017812802.000001,Finance,Finance/Rental/Leasing
CARG,22.96,7.0,23.38,2624856838.0,Technology Services,Internet Software/Services
CARR,53.43,3.0,55.06,49463927187.00001,Producer Manufacturing,Industrial Machinery
CASY,252.53,8.0,285.02,10576708162.000002,Retail Trade,Specialty Stores
CAT,296.0,9.0,322.0,163925288635.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
CAVA,0.0,8.0,52.77,5995279097.0,Consumer Services,Restaurants
CBAY,0.0,6.0,24.96,2830547533.0,Health Technology,Biotechnology
CBOE,120.73,9.0,184.16,19439191897.0,Finance,Investment Banks/Brokers
CBRE,95.09,9.0,85.96,26199990198.0,Finance,Real Estate Development
CBRL,126.7,7.0,80.59,1787898094.9999998,Consumer Services,Restaurants
CBT,70.22,7.0,80.07,4438217492.0,Process Industries,Chemicals: Specialty
CBZ,60.78,6.0,65.13,3246198330.0,Commercial Services,Miscellaneous Commercial Services
CC,34.22,6.0,30.0,4453148346.0,Process Industries,Chemicals: Specialty
CCCS,0.0,1.0,11.21,6754794068.0,Technology Services,Packaged Software
CCEP,74.7,8.0,66.91,30701400347.0,Consumer Non-Durables,Beverages: Non-Alcoholic
CCI,177.5,10.0,107.5,46655000000.0,Finance,Real Estate Investment Trusts
CCJ,35.51,9.0,44.72,19402462539.63528,Non-Energy Minerals,Other Metals/Minerals
CCK,96.6,5.0,74.29,8962820632.999998,Process Industries,Containers/Packaging
CCL,36.36,5.0,15.69,19618903751.0,Consumer Services,Hotels/Resorts/Cruise lines
CCOI,102.35,3.0,74.76,3635118977.0,Communications,Major Telecommunications
CCS,62.85,10.0,87.45,2778689927.0,Consumer Durables,Homebuilding
CCU,16.44,6.0,11.89,2217662731.98216,Consumer Non-Durables,Beverages: Alcoholic
CDNS,230.59,9.0,307.36,83620975936.99998,Technology Services,Packaged Software
CDP,26.06,8.0,23.35,5255948104.0,Finance,Real Estate Investment Trusts
CDW,193.22,7.0,243.96,32680973478.0,Technology Services,Information Technology Services
CE,149.29,4.0,148.9,16208533192.000002,Process Industries,Chemicals: Specialty
CEIX,70.46,6.0,85.78,2660025838.0,Energy Minerals,Coal
CELH,90.68,6.0,58.71,13601640112.999998,Consumer Non-Durables,Beverages: Non-Alcoholic
CENT,36.44,5.0,49.82,2413225651.0,Consumer Non-Durables,Consumer Sundries
CENTA,32.03,,34.648,1930580520.8,Consumer Non-Durables,Consumer Sundries
CEPU,0.44,5.0,8.3,1904092264.500328,Utilities,Electric Utilities
CERE,,6.0,42.18,7652616099.0,Health Technology,Pharmaceuticals: Major
CERT,24.97,5.0,16.86,2694983216.0,Technology Services,Packaged Software
CF,73.25,8.0,76.51,14617733475.000002,Process Industries,Chemicals: Agricultural
CFLT,36.27,5.0,32.57,10027491399.0,Technology Services,Packaged Software
CGAU,10.91,6.0,5.09,1098458733.944687,Non-Energy Minerals,Precious Metals
CGNX,45.75,7.0,36.04,6204001075.999999,Electronic Technology,Electronic Equipment/Instruments
CHDN,173.72,7.0,123.0,9175162628.0,Consumer Services,Movies/Entertainment
CHEF,50.28,10.0,33.49,1328388612.0,Distribution Services,Food Distributors
CHH,163.93,6.0,122.45,6097836924.0,Consumer Services,Hotels/Resorts/Cruise lines
CHK,55.76,6.0,77.27,10106496056.0,Energy Minerals,Integrated Oil
CHKP,153.55,9.0,163.18,19705937465.0,Technology Services,Internet Software/Services
CHRD,129.55,7.0,156.17,6446452484.0,Energy Minerals,Integrated Oil
CHRW,83.05,6.0,74.66,8709167008.0,Transportation,Air Freight/Couriers
CHT,36.98,4.0,38.63,29999778589.04732,Communications,Major Telecommunications
CHTR,536.88,7.0,282.6,45873173049.99999,Consumer Services,Cable/Satellite TV
CHWY,49.98,5.0,16.58,7152710431.000001,Retail Trade,Internet Retail
CHX,30.71,6.0,29.08,5557188163.0,Process Industries,Chemicals: Specialty
CIEN,63.85,9.0,55.48,8045083317.999999,Electronic Technology,Telecommunications Equipment
CIG,2.15,6.0,2.21,5493425596.9581,Utilities,Electric Utilities
CIG.C,3.5,,2.95,5493425596.9581,Utilities,Electric Utilities
CIGI,114.65,9.0,120.87,5702571547.558252,Finance,Real Estate Development
CL,88.01,8.0,84.26,69377347832.0,Consumer Non-Durables,Household/Personal Care
CLBT,0.0,10.0,9.42,1859205101.9999995,Technology Services,Packaged Software
CLF,20.86,7.0,19.32,9753919526.0,Non-Energy Minerals,Steel
CLH,154.66,8.0,178.1,9632763548.0,Industrial Services,Environmental Services
CLMT,15.51,2.0,16.2,1295471317.0,Energy Minerals,Oil Refining/Marketing
CLS,15.68,9.0,37.54,4465464552.157562,Electronic Technology,Electronic Components
CLVT,18.26,8.0,9.3,6174482646.000001,Commercial Services,Miscellaneous Commercial Services
CLX,155.75,6.0,154.22,19139679675.0,Consumer Non-Durables,Household/Personal Care
CMC,44.53,7.0,53.8,6261664896.999999,Non-Energy Minerals,Steel
CMCO,40.74,7.0,41.56,1195098469.9999998,Producer Manufacturing,Trucks/Construction/Farm Machinery
CMCSA,47.15,10.0,41.25,163839120264.0,Consumer Services,Cable/Satellite TV
CME,224.42,7.0,204.0,73438567032.0,Finance,Investment Banks/Brokers
CMG,2182.38,6.0,2620.48,71918182590.0,Consumer Services,Restaurants
CMI,301.94,8.0,249.92,35424874599.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
CMPR,70.38,9.0,85.81,2285685805.0,Commercial Services,Commercial Printing/Forms
