Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Industry
ZSC,USCF ETF Trust USCF Sustainable Commodity Strategy Fund,28.125,-0.21287919,-0.06,Sell,1,28.125,,,,Miscellaneous,Investment Trusts/Mutual Funds
ZSB,USCF ETF Trust USCF Sustainable Battery Metals Strategy Fund,19.495,0.02565418,0.005,Sell,1,19.495,,,,Miscellaneous,Investment Trusts/Mutual Funds
ZS,"Zscaler, Inc.",156.1,-1.96570998,-3.13,Buy,1603684,250335072.39999995,22973044679,,-1.3989,Technology Services,Data Processing Services
ZROZ,PIMCO 25 Year Zero Coupon U.S. Treasury Index Exchange-Traded Fund,78.44,-0.83438685,-0.66,Strong Sell,378027,29652437.88,,,,Miscellaneous,Investment Trusts/Mutual Funds
ZOM,Zomedica Corp.,0.1608,-5.57839107,-0.0095,Strong Sell,7667221,1232889.1368,157575908,,-0.0198,Health Technology,Pharmaceuticals: Major
ZNTL,"Zentalis Pharmaceuticals, Inc.",23.41,-1.59730979,-0.38,Sell,1957569,45826690.29,1652966172,,-4.8025,Health Technology,Biotechnology
ZM,"Zoom Video Communications, Inc.",71.11,-0.6427274,-0.46,Buy,6239259,443673707.49,21158041920,157.81180648,0.4692,Technology Services,Packaged Software
ZLS,Zalatoris II Acquisition Corp,10.56,-0.09460738,-0.01,Strong Buy,125,1320,126772348.00000001,47.61045987,0.2218,Finance,Financial Conglomerates
ZLAB,Zai Lab Limited,25.76,0.70367475,0.18,Sell,607058,15637814.08,2562505358.9637,,-4.0881,Health Technology,Biotechnology
ZKIN,"ZK International Group Co., Ltd",0.469,-4.01146132,-0.0196,Strong Sell,14990,7030.31,14254289,,,Producer Manufacturing,Industrial Machinery
ZJYL,JIN MEDICAL INTERNATIONAL LTD.,14.88,12.30188679,1.63,Strong Buy,275005,4092074.4,119040001.00000001,,,Health Technology,Medical Specialties
ZIVO,"Zivo Bioscience, Inc.",1.38,-12.10191083,-0.19,Strong Sell,21108,29129.04,14420531,,-0.9224,Health Technology,Biotechnology
ZIVB,-1x Short VIX Mid-Term Futures Strategy ETF -1x Short VIX Mid-Term Futures Strategy ETF,21.05,-1.4974263,-0.32,Buy,16248,342020.4,,,,Miscellaneous,Investment Trusts/Mutual Funds
ZIP,"ZipRecruiter, Inc.",15.05,-0.66006601,-0.1,Sell,2695635,40569306.75,1503794182.9999998,28.95901482,0.5493,Technology Services,Internet Software/Services
ZIONP,Zions Bancorporation N.A. - Depositary Shares each representing a 1/40th ownership interest in a share of Series A Floating-Rate Non-Cumulative Perpetual Prefer,19.76,-0.2020202,-0.04,Neutral,3796,75008.96,,3.47630273,5.6871,Finance,Major Banks
ZIONO,Zions Bancorporation N.A. - Depositary Shares each representing a 1/40th ownership interest in a share of Series G Fixed/Floating-Rate Non-Cumulative Perpetual,25.2849,-0.02016607,-0.0051,Neutral,5832,147461.5368,,4.44827768,5.6871,Finance,Major Banks
ZIONL,"Zions Bancorporation N.A. - 6.95% Fixed-to-Floating Rate Subordinated Notes due September 15, 2028",25,-0.11945713,-0.0299,Buy,3837,95925,,4.39815629,5.6871,Finance,Major Banks
ZION,Zions Bancorporation N.A.,36.92,-0.43149946,-0.16,Buy,5451238,201259706.96,5469518357,6.49519721,5.6871,Finance,Major Banks
ZIMV,ZimVie Inc.,10.98,-2.83185841,-0.32,Sell,692926,7608327.48,291295458,,-3.1599,Health Technology,Medical Specialties
ZIM,ZIM Integrated Shipping Services Ltd.,11,-2.22222222,-0.25,Strong Sell,3431662,37748282,1322025154,1.01725637,10.8545,Transportation,Marine Shipping
ZIG,The Acquirers Fund,31.39,-1.90533036,-0.6097,Sell,1409,44228.51,,,,Miscellaneous,Investment Trusts/Mutual Funds
ZI,ZoomInfo Technologies Inc.,17.22,-0.17391304,-0.03,Sell,13573636,233738011.92,6913304737.000001,56.14607108,0.3072,Technology Services,Packaged Software
ZHDG,ZEGA Buy and Hedge ETF,17.545,-0.90369952,-0.16,Sell,8819,154729.355,,,,Miscellaneous,Investment Trusts/Mutual Funds
ZH,Zhihu Inc.,1.05,2.94117647,0.03,Neutral,15189590,15949069.5,637466842.28977,,-0.2218,Technology Services,Internet Software/Services
ZGN,Ermenegildo Zegna N.V.,14.1,0.42735043,0.06,Sell,485597,6846917.7,3522593439,39.39647946,0.3597,Consumer Non-Durables,Apparel/Footwear
ZG,"Zillow Group, Inc.",46.09,-2.98884445,-1.42,Sell,948034,43694887.06,10966983615,,-0.7692,Technology Services,Information Technology Services
ZFOX,"ZeroFox Holdings, Inc.",1.02,0.99009901,0.01,Sell,254234,259318.68,122438830,,-6.3879,Technology Services,Packaged Software
ZEV,"Lightning eMotors, Inc",1.72,-6.01092896,-0.11,Strong Sell,79573,136865.56,11115351,,-11.1361,Consumer Durables,Motor Vehicles
ZEUS,"Olympic Steel, Inc.",50.18,-3.96172249,-2.07,Sell,260203,13056986.54,558630944,14.19278199,3.5372,Producer Manufacturing,Metal Fabrication
ZETA,Zeta Global Holdings Corp.,7.82,0.38510911,0.03,Sell,3484562,27249274.84,1674786556,,-1.5666,Technology Services,Packaged Software
ZEPP,Zepp Health Corporation,1.18,0.85470085,0.01,Neutral,72027,84991.86,72374909,,-0.7038,Consumer Durables,Other Consumer Specialties
ZENV,Zenvia Inc.,1.05,-0.94339623,-0.01,Buy,31858,33450.9,18978810,,-0.9522401,Technology Services,Packaged Software
ZECP,Zacks Trust Zacks Earnings Consistent Portfolio ETF,25,-0.81136305,-0.2045,Neutral,4119,102975,,,,Miscellaneous,Investment Trusts/Mutual Funds
ZDGE,"Zedge, Inc.",2.16,-6.08695652,-0.14,Buy,23239,50196.24,31186844,,-0.1321,Technology Services,Packaged Software
ZD,"Ziff Davis, Inc.",66.53,-1.68464608,-1.14,Sell,764780,50880813.4,3092501611,35.45997228,2.0197,Technology Services,Internet Software/Services
ZCMD,Zhongchao Inc.,1.1,-5.98290598,-0.07,Strong Sell,455,500.5,28612253,,-0.113,Commercial Services,Miscellaneous Commercial Services
ZBRA,Zebra Technologies Corporation,251.38,-1.33835708,-3.41,Sell,535179,134533297.02,12905438104,20.07218256,12.6011,Electronic Technology,Computer Processing Hardware
ZBH,"Zimmer Biomet Holdings, Inc.",121.31,-0.25489229,-0.31,Neutral,2547091,308987609.21,25349439537,50.45963146,2.4178,Health Technology,Medical Specialties
ZAPP,Zapp Electric Vehicles Group Limited,1.105,-15,-0.195,Strong Sell,44655,49343.775,61289142,,-0.0478,Finance,Financial Conglomerates
Z,"Zillow Group, Inc.",47.43,-2.82728949,-1.38,Sell,7054696,334604231.28,10966983615,,-0.7692,Technology Services,Information Technology Services
YYY,Amplify High Income ETF,11.47,-0.08710801,-0.01,Sell,145894,1673404.18,,,,Miscellaneous,Investment Trusts/Mutual Funds
YY,JOYY Inc.,38.4,1.02604578,0.39,Buy,575001,22080038.4,2380471684,12.15266789,4.364,Technology Services,Data Processing Services
YXI,ProShares Short FTSE China 50,17.5272,0.66739418,0.1162,Buy,12868,225540.0096,,,,Miscellaneous,Investment Trusts/Mutual Funds
YUMY,VanEck Future of Food ETF,16.2696,-0.37170168,-0.0607,Sell,399,6491.5704,,,,Miscellaneous,Investment Trusts/Mutual Funds
YUMC,"Yum China Holdings, Inc.",57.95,3.33452211,1.87,Buy,4294566,248870099.7,24156719908.999996,32.90370202,1.7796,Consumer Services,Restaurants
YUM,"Yum! Brands, Inc.",127.99,-2.80962867,-3.7,Strong Sell,2581184,330365740.15999997,35864240256.99999,25.84507895,5.0275,Consumer Services,Restaurants
YTRA,"Yatra Online, Inc.",2.53,-1.55642023,-0.04,Buy,407766,1031647.98,150658437,,-0.0564,Consumer Services,Other Consumer Services
YTEN,"Yield10 Bioscience, Inc.",0.3699,1.92890603,0.007,Sell,162905,60258.5595,4388494,,-2.7756,Process Industries,Chemicals: Agricultural
YSG,Yatsen Holding Limited,0.9885,0.45731707,0.0045,Sell,5766396,5700082.446,544217211,,-0.0817,Retail Trade,Specialty Stores
YSEP,FT Cboe Vest International Equity Buffer ETF - September,19.82,0.05148967,0.0102,Buy,54007,1070418.74,,,,Miscellaneous,Investment Trusts/Mutual Funds
YS,"YS Biopharma Co., Ltd.",0.9,-0.40942791,-0.0037,Sell,2766406,2489765.4,83752374.99999999,,,Health Technology,Biotechnology
YRD,Yiren Digital Ltd.,2.51,4.58333333,0.11,Buy,38250,96007.5,224115098,0.91954865,2.7522,Technology Services,Internet Software/Services
YQ,17 Education & Technology Group Inc.,0.74,-6.0435577,-0.047599,Sell,12599,9323.26,36011326,,-0.7836,Technology Services,Internet Software/Services
YPS,Arrow Reverse Cap 500 ETF,21.4744,-0.66242321,-0.1432,Sell,474,10178.8656,,,,Miscellaneous,Investment Trusts/Mutual Funds
YPF,YPF Sociedad Anonima,12.71,-1.70146945,-0.22,Sell,1547324,19666488.04,9109962119.21442,2.78410584,4.5652,Energy Minerals,Integrated Oil
YOU,"Clear Secure, Inc.",21.02,0.19065777,0.04,Sell,1048773,22045208.46,3190374491,,-0.5844,Technology Services,Packaged Software
YOTA,Yotta Acquisition Corporation,10.61,-0.56232427,-0.06,Buy,2479,26302.19,156163000.00000003,721.76870748,0.0147,Finance,Financial Conglomerates
YOSH,Yoshiharu Global Co.,0.4426,5.40604906,0.0227,Neutral,111042,49147.1892,5727240,,-0.3841,Consumer Services,Restaurants
YORW,The York Water Company,40.79,-0.17131669,-0.07,Sell,148415,6053847.85,583719128.9999999,27.9001368,1.4623,Utilities,Water Utilities
YOLO,AdvisorShares Pure Cannabis ETF,3.93,1.36180749,0.0528,Buy,138481,544230.33,,,,Miscellaneous,Investment Trusts/Mutual Funds
YMM,Full Truck Alliance Co. Ltd.,7.05,1.73160173,0.12,Buy,3928191,27693746.55,7546466375,32.83651607,0.215,Technology Services,Packaged Software
YMAR,FT Cboe Vest International Equity Buffer ETF - March,20.9402,-0.04200678,-0.0088,Buy,1475,30886.795,,,,Miscellaneous,Investment Trusts/Mutual Funds
YMAB,"Y-mAbs Therapeutics, Inc.",4.99,0,0,Sell,263105,1312893.95,217664736,,-0.8938,Health Technology,Pharmaceuticals: Major
YLDE,ClearBridge Dividend Strategy ESG ETF,42.165,-0.74152542,-0.315,Buy,3582,151035.03,,,,Miscellaneous,Investment Trusts/Mutual Funds
YLD,Principal Active High Yield ETF,18.34,0.13650014,0.025,Strong Buy,13938,255622.92,,,,Miscellaneous,Investment Trusts/Mutual Funds
YJUN,First Trust Exchange-Traded Fund VIII FT Cboe Vest International Equity Buffer ETF - June,20.29,-0.02365138,-0.0048,Buy,18458,374512.82,,,,Miscellaneous,Investment Trusts/Mutual Funds
YJ,Yunji Inc. - American Depository Shares,0.63,2.18978102,0.0135,Sell,32726,20617.38,12715903,,-1.0042,Retail Trade,Catalog/Specialty Distribution
YINN,Direxion Daily FTSE China Bull 3x Shares,31.43,-1.81193377,-0.58,Sell,2285841,71843982.63,,,,Miscellaneous,Investment Trusts/Mutual Funds
YI,"111, Inc.",2.7,3.84615385,0.1,Sell,97241,262550.7,225496746,,-0.5148,Distribution Services,Medical Distributors
YGMZ,MingZhu Logistics Holdings Limited,0.489,-0.20408163,-0.001,Sell,55965,27366.885,11227576,5.57582668,0.0877,Transportation,Trucking
YGF,"YanGuFang International Group Co., Ltd.",3.35,4.36137072,0.14,Buy,87736,293915.6,107200000,25.88871716,0.1294,Consumer Non-Durables,Food: Specialty/Candy
YEXT,"Yext, Inc.",6.31,-2.32198142,-0.15,Sell,2310831,14581343.61,785489611,,-0.1944,Technology Services,Data Processing Services
YETI,"YETI Holdings, Inc.",47.67,-0.77019151,-0.37,Buy,1398806,66681082.02,4134727149.000001,62.64949402,0.7681,Producer Manufacturing,Miscellaneous Manufacturing
YELP,Yelp Inc.,42.78,-1.8131742,-0.79,Sell,1563468,66885161.04,2939566751.9999995,71.7063359,0.6125,Technology Services,Internet Software/Services
YEAR,"AB Active ETFs, Inc. AB Ultra Short Income ETF",50.11,-0.01995211,-0.01,Strong Sell,49312,2471024.32,,,,Miscellaneous,Investment Trusts/Mutual Funds
YDEC,FT Cboe Vest International Equity Buffer ETF - December,21.6705,-0.18102424,-0.0393,Buy,5380,116587.29,,,,Miscellaneous,Investment Trusts/Mutual Funds
YCS,ProShares UltraShort Yen New,73.0706,0.50976616,0.3706,Buy,5907,431628.0342,,,,Miscellaneous,Investment Trusts/Mutual Funds
YCL,ProShares Ultra Yen,25.65,-0.58139535,-0.15,Sell,17480,448362,,,,Miscellaneous,Investment Trusts/Mutual Funds
YCBD/PA,"cbdMD, Inc. 8.0% Series A Cumulative Convertible Preferred Stock",1.43,0,0,Sell,7659,10952.37,3854561,,-18.1915,Health Technology,Pharmaceuticals: Other
YCBD,"cbdMD, Inc.",1.35,4.65116279,0.06,Buy,39552,53395.2,3854561,,-18.1915,Health Technology,Pharmaceuticals: Other
YANG,Direxion Daily FTSE China Bear 3x Shares,10.27,1.18226601,0.12,Neutral,2605124,26754623.48,,,,Miscellaneous,Investment Trusts/Mutual Funds
YALL,God Bless America ETF,27.2,-1.30086906,-0.3585,Neutral,6017,163662.4,,,,Miscellaneous,Investment Trusts/Mutual Funds
YALA,Yalla Group Limited,5.14,0.58708415,0.03,Strong Buy,420491,2161323.74,801783604,11.38427464,0.5196,Technology Services,Internet Software/Services
XYLG,Global X S&P 500 Covered Call & Growth ETF,27.47,-1.2655407,-0.3521,Sell,9870,271128.9,,,,Miscellaneous,Investment Trusts/Mutual Funds
XYLE,Global X Funds Global X S&P 500 ESG Covered Call ETF,25.1726,0.00913775,0.0023,Sell,7,176.2082,,,,Miscellaneous,Investment Trusts/Mutual Funds
XYLD,Global X Funds Global X S&P 500 Covered Call ETF,40.15,-0.71711177,-0.29,Strong Sell,892112,35818296.8,,,,Miscellaneous,Investment Trusts/Mutual Funds
XYL,Xylem Inc.,95.55,-0.7994186,-0.77,Sell,3608563,344798194.65,23011167444,50.84610473,1.8897,Producer Manufacturing,Industrial Machinery
XYF,X Financial,4.4,0,0,Strong Buy,47385,208494,180927414,1.37294059,3.2729,Finance,Finance/Rental/Leasing
XXII,"22nd Century Group, Inc",1.32,0,0,Sell,804738,1062254.16,27823829,,-5.4335,Health Technology,Biotechnology
XWEL,"XWELL, Inc.",0.18,1.12359551,0.002,Sell,151780,27320.4,15027780,,-0.3723,Consumer Services,Other Consumer Services
XWEB,SPDR S&P Internet ETF,75.0649,-1.26118566,-0.9588,Sell,195,14637.6555,,,,Miscellaneous,Investment Trusts/Mutual Funds
XVV,iShares ESG Screened S&P 500 ETF,33.8298,-1.25569177,-0.4302,Sell,4439,150170.4822,,,,Miscellaneous,Investment Trusts/Mutual Funds
XVOL,Acruence Active Hedge U.S. Equity ETF,18.2535,-0.77462492,-0.1425,Sell,214,3906.249,,,,Miscellaneous,Investment Trusts/Mutual Funds
XUSP,Innovator ETFs Trust Innovator Uncapped Accelerated U.S. Equity ETF,28.22,-1.55447645,-0.4456,Sell,3265,92138.3,,,,Miscellaneous,Investment Trusts/Mutual Funds
XTWY,BondBloxx Bloomberg Twenty Year Target Duration US Treasury ETF,41.74,-0.69021963,-0.2901,Strong Sell,17221,718804.54,,,,Miscellaneous,Investment Trusts/Mutual Funds
XTWO,BondBloxx Bloomberg Two Year Target Duration US Treasury ETF,48.865,-0.0511352,-0.025,Strong Sell,6628,323877.22,,,,Miscellaneous,Investment Trusts/Mutual Funds
XTRE,BondBloxx Bloomberg Three Year Target Duration US Treasury ETF,48.42,-0.10315659,-0.05,Strong Sell,212,10265.04,,,,Miscellaneous,Investment Trusts/Mutual Funds
XTR,Global X Funds Global X S&P 500 Tail Risk ETF,25.574,-1.15220643,-0.2981,Neutral,11,281.314,,,,Miscellaneous,Investment Trusts/Mutual Funds
XTOC,Innovator U.S. Equity Accelerated Plus ETF - October,24.5649,0.03991024,0.0098,Buy,117,2874.0933,,,,Miscellaneous,Investment Trusts/Mutual Funds
XTNT,"Xtant Medical Holdings, Inc.",1.25,3.30578512,0.04,Buy,622978,778722.5,161121311,,-0.0848,Health Technology,Medical Specialties
XTN,SPDR S&P Transportation ETF,77.84,-0.63824355,-0.5,Sell,14929,1162073.36,,,,Miscellaneous,Investment Trusts/Mutual Funds
XTLB,XTL Biopharmaceuticals Ltd.,0.99,2.90418477,0.02794,Buy,826,817.74,5132688.623,,-0.524,Health Technology,Medical Specialties
XTL,SPDR S&P Telecom ETF,73.36,-0.99424131,-0.7367,Sell,1544,113267.84,,,,Miscellaneous,Investment Trusts/Mutual Funds
XTJL,Innovator U.S. Equity Accelerated Plus ETF - July,27.58,-1.1115095,-0.31,Buy,7047,194356.26,,,,Miscellaneous,Investment Trusts/Mutual Funds
XTJA,Innovator ETFs Trust Innovator U.S. Equity Accelerated Plus ETF - January,23.3907,-0.38032368,-0.0893,Buy,2304,53892.1728,,,,Miscellaneous,Investment Trusts/Mutual Funds
XTEN,BondBloxx Bloomberg Ten Year Target Duration US Treasury ETF,45.71,-0.34902911,-0.1601,Strong Sell,13175,602229.25,,,,Miscellaneous,Investment Trusts/Mutual Funds
XTAP,Innovator U.S. Equity Accelerated Plus ETF - April,28.7234,-0.85122541,-0.2466,Buy,4311,123826.5774,,,,Miscellaneous,Investment Trusts/Mutual Funds
XT,iShares Exponential Technologies ETF,54,-1.22553503,-0.67,Sell,122767,6629418,,,,Miscellaneous,Investment Trusts/Mutual Funds
XSW,SPDR S&P Software & Services ETF,130.1463,-1.0104598,-1.3285,Sell,6241,812243.0583,,,,Miscellaneous,Investment Trusts/Mutual Funds
XSVN,BondBloxx Bloomberg Seven Year Target Duration US Treasury ETF,46.7443,-0.27201857,-0.1275,Strong Sell,410,19165.163,,,,Miscellaneous,Investment Trusts/Mutual Funds
XSVM,Invesco S&P SmallCap Value with Momentum ETF,48.25,-1.00533443,-0.49,Sell,43030,2076197.5,,,,Miscellaneous,Investment Trusts/Mutual Funds
XSOE,WisdomTree Emerging Markets Ex-State Owned Enterprises Fund,27.75,-0.28745958,-0.08,Sell,185625,5151093.75,,,,Miscellaneous,Investment Trusts/Mutual Funds
XSMO,Invesco S&P SmallCap Momentum ETF,49.9,-1.20768165,-0.61,Buy,6575,328092.5,,,,Miscellaneous,Investment Trusts/Mutual Funds
XSLV,Invesco S&P SmallCap Low Volatility ETF,40.73,-0.75536062,-0.31,Sell,25079,1021467.67,,,,Miscellaneous,Investment Trusts/Mutual Funds
XSHQ,Invesco S&P SmallCap Quality ETF,36.0188,-1.33403459,-0.487,Sell,67255,2422444.394,,,,Miscellaneous,Investment Trusts/Mutual Funds
XSHD,Invesco S&P SmallCap High Dividend Low Volatility ETF,15.67,-0.29650179,-0.0466,Neutral,10305,161479.35,,,,Miscellaneous,Investment Trusts/Mutual Funds
XSEP,First Trust Exchange-Traded Fund VIII FT Cboe Vest U.S. Equity Enhance & Moderate Buffer ETF - September,34.49,0.1161103,0.04,Strong Buy,534399,18431421.51,,,,Miscellaneous,Investment Trusts/Mutual Funds
XSD,SPDR S&P Semiconductor ETF,199.57,-2.29040074,-4.6781,Sell,45711,9122544.27,,,,Miscellaneous,Investment Trusts/Mutual Funds
XRX,Xerox Holdings Corporation,16.06,0,0,Buy,21899783,351710514.97999996,2523347528,,-1.7099,Electronic Technology,Computer Peripherals
XRTX,XORTX Therapeutics Inc.,0.66,1.71058715,0.0111,Buy,8679,5728.14,11873193.22543353,,-0.44456792,Health Technology,Pharmaceuticals: Major
XRT,SPDR S&P Retail ETF,62.23,-1.28489848,-0.81,Strong Sell,6092660,379146231.7999999,,,,Miscellaneous,Investment Trusts/Mutual Funds
XRMI,Global X Funds Global X S&P 500 Risk Managed Income ETF,19.6697,-0.65356506,-0.1294,Strong Sell,4739,93214.7083,,,,Miscellaneous,Investment Trusts/Mutual Funds
XRLV,Invesco S&P 500 ex-Rate Sensitive Low Volatility ETF,46.5103,-0.61838003,-0.2894,Sell,175,8139.3025,,,,Miscellaneous,Investment Trusts/Mutual Funds
XRAY,DENTSPLY SIRONA Inc.,35.54,-0.1404889,-0.05,Sell,2550345,90639261.3,7524386955,,-4.7641,Health Technology,Medical Specialties
XPRO,Expro Group Holdings N.V.,24.83,6.38389032,1.49,Strong Buy,5808986,144237122.38,2700241275,,-0.0157,Energy Minerals,Oil & Gas Production
XPP,ProShares Ultra FTSE China 50,17.7784,-1.2799227,-0.2305,Sell,3572,63504.4448,,,,Miscellaneous,Investment Trusts/Mutual Funds
XPON,Expion360 Inc.,4.5,-4.86257928,-0.23,Sell,20042,90189,31098200,,-0.9082,Producer Manufacturing,Electrical Products
XPOF,"Xponential Fitness, Inc.",18.05,-3.73333333,-0.7,Strong Sell,1158473,20910437.65,901994663.9999998,,-2.6056,Consumer Services,Other Consumer Services
XPO,"XPO, Inc.",71.04,-1.57938487,-1.14,Neutral,2457244,174562613.76000002,8238307914.000001,99.73325846,0.7269,Transportation,Trucking
XPND,First Trust Expanded Technology ETF,21.0238,-2.0011094,-0.4293,Sell,2353,49469.0014,,,,Miscellaneous,Investment Trusts/Mutual Funds
XPL,Solitario Resources Corp.,0.5922,-1.3,-0.0078,Sell,110289,65313.1458,41168580,,-0.0485,Non-Energy Minerals,Other Metals/Minerals
XPH,SPDR S&P Pharmaceuticals ETF,42.44,-1.04919562,-0.45,Sell,18466,783697.04,,,,Miscellaneous,Investment Trusts/Mutual Funds
XPEV,XPeng Inc.,18.3,-0.27247956,-0.05,Buy,6622154,121185418.2,16024061055.50762,,-1.6498,Consumer Durables,Motor Vehicles
XPER,Xperi Inc.,10.29,-3.8317757,-0.41,Strong Sell,477700,4915533,445526883.00000006,,-18.2579,Technology Services,Packaged Software
XPEL,"XPEL, Inc.",77.79,2.18048076,1.66,Sell,385899,30019083.21,2148788830,43.99140417,1.7688,Consumer Durables,Automotive Aftermarket
XPDBU,Power & Digital Infrastructure Acquisition II Corp.,10.55,0.47619048,0.05,Buy,670,7068.5,188367254,,,Finance,Financial Conglomerates
XPDB,Power & Digital Infrastructure Acquisition II Corp.,10.6,0.09442871,0.01,Buy,351,3720.6,188634189.17335853,107.07070707,0.099,Finance,Financial Conglomerates
XP,XP Inc.,26.36,2.72798129,0.7,Buy,34686296,914330762.56,14775274862.999998,21.49555574,1.2399583,Technology Services,Internet Software/Services
XOS,"Xos, Inc.",0.38,6.1452514,0.022,Buy,244831,93035.78,66887130.99999999,,-0.5195,Consumer Durables,Motor Vehicles
XOP,SPDR S&P Oil & Gas Explor & Product,150.18,-1.70179343,-2.6,Buy,5606203,841939566.5400001,,,,Miscellaneous,Investment Trusts/Mutual Funds
XONE,BondBloxx Bloomberg One Year Target Duration US Treasury ETF,49.655,-0.00443037,-0.0022,Sell,48831,2424703.305,,,,Miscellaneous,Investment Trusts/Mutual Funds
XOMO,Tidal ETF Trust II YieldMax XOM Option Income Strategy ETF,20.26,-1.45914397,-0.3,Strong Sell,20851,422441.26,,,,Miscellaneous,Investment Trusts/Mutual Funds
XOMAP,XOMA Corporation - 8.625% Series A Cumulative Perpetual Preferred Stock,24,1.05263158,0.25,Buy,3227,77448,203183417,,-2.6917,Health Technology,Pharmaceuticals: Major
XOMAO,XOMA Corporation - Depositary Shares Rep Series B 8.375% Cumulative Preferred Stock,24.18,1.12923463,0.27,Strong Buy,1331,32183.58,203183417,,-2.6917,Health Technology,Pharmaceuticals: Major
XOMA,XOMA Corporation,17.71,7.65957447,1.26,Buy,82997,1469876.87,203183417,,-2.6917,Health Technology,Pharmaceuticals: Major
XOM,Exxon Mobil Corporation,116.7,-1.5356058,-1.82,Buy,34568393,4034131463.1,467172595840,9.3334613,12.5457,Energy Minerals,Integrated Oil
XNTK,SPDR NYSE Technology ETF,141.7973,-2.12100504,-3.0727,Sell,13848,1963609.0104,,,,Miscellaneous,Investment Trusts/Mutual Funds
XNET,Xunlei Limited,1.72,6.17283951,0.1,Neutral,164048,282162.56,113238806,7.10450227,0.2425,Technology Services,Information Technology Services
XNCR,"Xencor, Inc.",20.69,-1.14667941,-0.24,Strong Sell,1246959,25799581.71,1254087874,,-2.1332,Health Technology,Biotechnology
XNAV,FundX Investment Trust FundX Aggressive ETF,53.387,-1.96377285,-1.0694,Sell,603,32192.361,,,,Miscellaneous,Investment Trusts/Mutual Funds
XMVM,Invesco S&P MidCap Value with Momentum ETF,46.91,-1.20050548,-0.57,Sell,8623,404504.93,,,,Miscellaneous,Investment Trusts/Mutual Funds
XMTR,"Xometry, Inc.",18.11,-2.16099406,-0.4,Sell,1167018,21134695.98,868709512,,-1.7718,Producer Manufacturing,Metal Fabrication
XMPT,VanEck CEF Muni Income ETF,19.87,0.05035247,0.01,Sell,17413,345996.31,,,,Miscellaneous,Investment Trusts/Mutual Funds
XMMO,Invesco S&P MidCap Momentum ETF,81.21,-0.70913315,-0.58,Sell,17871,1451303.91,,,,Miscellaneous,Investment Trusts/Mutual Funds
