,Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Industry
10,ABCL,-49.26,40.06,-6.5,631.1,,,,,215.7,49.25,,-25.71,42.89,3.52,,6.69,9.47,7.83,32.46,321.47,132.26,-1.62,0.07,Grey,,,-8.95,-15.23,-4.15,-2.55,-2.87,12.37,5.45,-11.17,0.78,,,,,,88.57,N/A,,N/A,-50.91,WACC vs ROIC,-72,1.29,,,,11.47,2/9,,,,,,,3.4,2.62,,,,,1.51,7.82,-4.79,-38.94,-6.26,-6.06,,-18.71,Beneish M-Score,-2.39,,ROIC,,4,AbCellera Biologics Inc.,5.34,3.28820116,0.17,Sell,2365588,12632239.92,1545160366.0,,-0.2559,Health Technology,Biotechnology
11,ABCM,37.42,49.09,-3.8,22.7,,-22.7,,,13.9,36.79,,61.57,46.79,5.89,,0.42,0.36,1.35,254.76,177.85,70.78,3.49,0.3,Grey,,,439.08,68.73,-137.61,24.75,19.79,8.46,11.4,0.23,0.7,,32.57,-8.94,,18.15,75.88,1.08,,,0.66,WACC vs ROIC,2.24,3.89,1509.33,1509.33,,7.38,4/9,,,,,39.72,0.74,,,107.05,,,3,23.58,1,0.24,3.76,1.06,0.35,,5.73,Beneish M-Score,,64.69,ROIC,,9,Abcam plc,22.64,-0.43975374,-0.1,Neutral,6947925,157301022.0,5184548460.0,1388.95705521,0.017,Health Technology,Biotechnology
12,ABEV,-1.74,36.1,,10.1,15.8,5.3,7.1,2,15.3,35.99,7.25,6.42,35.44,3.8,,0.36,3.04,1.01,108.48,188.72,22.45,0.2,0.05,Grey,0.85,5.29,14.9,10.34,14.2,8.78,6.81,2.23,2.62,6.71,0.64,5.29,13.25,9.44,7.32,6.69,49.95,14.8,,,17.26,WACC vs ROIC,21.38,2.5,15.34,15.34,6.67,2.58,5/9,,,,14.9,1.95,0.44,,,10.33,16.87,,0.89,5.81,0.65,10.42,49.07,14.39,16.66,,18.45,Beneish M-Score,4.76,13,ROIC,,10,Ambev S.A.,2.73,0.0,0.0,Sell,19021061,51927496.53,43328543728.065,,,Consumer Non-Durables,Beverages: Alcoholic
13,ABG,40.2,50.21,-3.8,58.9,,53,67.2,21.4,22.6,49.98,,11.99,50.55,3.57,,0.08,0.03,1.91,29.52,18.83,6.71,2.41,1.15,Grey,,,5.92,5.65,26.48,7.57,6.97,0.47,0.56,16.89,0.38,,7.28,30.7,10.4,20.79,19.57,7.41,,,6.28,WACC vs ROIC,7.92,1.58,5.25,5.25,0.15,0.34,5/9,0.17,0.5,,15.76,,1.14,,,11.71,9.5,0.21,0.52,,0.77,11.75,49.06,20.32,33.25,,12.54,Beneish M-Score,12.98,13.78,ROIC,,10,Asbury Automotive Group Inc,225.13,-3.86865366,-9.06,Buy,812846,182996019.98,4632090814.999999,5.24436265,43.1258,Retail Trade,Specialty Stores
14,ABM,10.52,36.93,0.5,4.2,2.7,13,21.3,,6,41.34,2.42,2.82,37,2.86,,0.08,0.07,1.47,,,59.34,2.86,0.78,Grey,0.24,2.11,10.54,8.02,23.45,10.4,8.18,0.5,0.51,9.49,0.37,2.17,12.27,22.06,,1.66,,4.92,,,2.96,WACC vs ROIC,4.77,1.43,11.39,11.39,0.94,0.35,4/9,,,,15.57,,0.87,,,12.21,13.23,0.78,0.84,,1.47,4.88,63.19,10.65,13.52,,7.21,Beneish M-Score,-6.98,22.53,ROIC,,10,ABM Industries Incorporated,40.55,-2.17129071,-0.9,Sell,1749922,70959337.1,2657328642.9999995,11.39557104,3.5784,Commercial Services,Miscellaneous Commercial Services
15,ABNB,3.85,58.33,-5.9,,,,,201.3,10.9,51.41,,14.32,59.26,4.18,,0.76,4.45,1.47,,31.35,,0.94,0.46,Grey,,,34.44,33.81,21.56,25.19,24.81,7.51,9.24,2.9,0.24,,33.44,,20.75,14.04,82.33,116.77,,,25.31,WACC vs ROIC,21.53,17.79,41.64,41.64,,10.57,8/9,,,,24.62,6.16,,,22.95,24.46,,,,20.54,1.47,12.45,911.02,31.03,43.08,,42.81,Beneish M-Score,2.59,,ROIC,,1,"Airbnb, Inc.",142.75,-0.95059672,-1.37,Buy,74787922,10676054663.5,92399740712.0,41.83395364,3.6125,Consumer Services,Other Consumer Services
16,ABR,6.3,54.24,-17.6,9,10.5,,9.6,,1.1,63.42,20.66,36.08,56.99,,,,,,,,,,,,0.94,10.29,,,28.28,,,,18.03,,,10.73,,15.49,,,,,,,51.36,,,1.23,9.32,9.32,1.48,4.93,,0.49,0.67,8.27,7.73,0.8,1.34,,,7.73,,1.15,0.71,1.54,,2.07,,,12.09,,,,-37.73,9.96,,,10,Arbor Realty Trust,16.03,1.00819156,0.16,Strong Buy,4095252,65646889.56,2989626681.0,9.31922563,1.7582,Finance,Real Estate Investment Trusts
17,ABT,-0.11,40.45,0.5,6.2,13.7,16.4,23.8,20.5,11.4,39.84,3.64,7.3,40.42,4.67,,0.57,0.48,1.64,126.89,87.47,58.1,1.67,0.45,Grey,0.67,1.97,27.12,18.46,34.04,19.88,16.92,4.45,4.64,3.69,0.51,2.01,22.03,19.31,0.58,0.55,55.16,10.09,,,12.83,WACC vs ROIC,15.23,4.76,34.72,34.72,2.2,4.47,5/9,1.11,2.29,,32.58,8.18,1.13,,,23.96,26.67,2.18,1.59,43.29,1.16,7,72.4,11.53,14.1,,9.69,Beneish M-Score,3.15,39.9,ROIC,,10,Abbott Laboratories,101.74,-0.88650755,-0.91,Sell,8303319,844779675.06,176555322492.0,34.67266469,2.9512,Health Technology,Medical Specialties
18,ACA,37.5,45.72,-0.1,6.8,,27.8,29.6,-49,8.8,43.23,0.27,31.75,44.15,3.24,,0.47,0.36,2.32,65.6,43.52,58.4,1.01,0.24,Grey,0.03,0.27,10.41,7.44,111.23,,,1.61,1.8,9.61,0.65,0.27,21.37,23.24,,6.9,19.29,5.43,,,12.65,WACC vs ROIC,7.35,1.6,12.84,12.84,0.67,1.65,6/9,,,,102.61,1.4,,,,16.91,10.44,0.58,1.26,3.44,1.47,8.34,24.51,12.94,13.19,,4.48,Beneish M-Score,4.64,,ROIC,,8,"Arcosa, Inc.",74.75,-0.29345071,-0.22,Sell,633525,47355993.75,3644941042.999999,12.85999381,5.8437,Producer Manufacturing,Trucks/Construction/Farm Machinery
19,ACAD,57.2,32.32,-1.4,-18.1,,6.1,5.7,12,11.6,16.89,,44.69,25.53,5.91,,2,6.38,2.62,182.04,378.16,44.21,-0.47,0.15,Grey,,,-30.68,-31.47,-114.12,18.35,44.1,4.65,7.1,-3.26,0.62,,82.64,,,20.68,97.52,N/A,,N/A,-20.12,WACC vs ROIC,-23.14,10.21,,,,7.29,5/9,,,,,,,31.29,16.48,,,,,12.3,2.57,-17.87,-207.97,-27.37,-27.28,,-93.12,Beneish M-Score,-0.47,,ROIC,,,ACADIA Pharmaceuticals Inc.,24.72,-4.37137331,-1.13,Sell,1945232,48086135.04,4047377469.0,,-0.6838,Health Technology,Pharmaceuticals: Major
20,ACGL,63.62,59.91,3,7.3,,-2.8,-0.6,26.8,15.8,69.09,,23.3,64.04,,,,,,,,,,,,,,13.2,12.69,7.37,,,2.23,2.8,7.58,,,10.89,25.03,,15.53,,,,,19.41,,,2.13,13.39,13.39,0.78,2.54,,0.69,0.26,,6.7,1.16,1.16,,,6.61,7.29,0.85,0.6,2.26,,4.62,,,17.21,,5.09,,-0.52,23.8,,,10,Arch Capital Group Ltd.,79.0,-0.07589173,-0.06,Buy,1963957,155152603.0,29463386078.0,13.26816815,6.0528,Finance,Multi-Line Insurance
21,ACHC,-8.14,29.17,-0.8,3.1,,15.1,71.6,-6.9,7.6,10.42,,12.45,20.38,2.78,,0.26,0.07,1.34,17.98,427.44,42.86,2.7,0.53,Grey,,,17.97,14.08,191.85,13.27,10.63,2.45,2.88,5.56,0.57,,18.48,11.04,,11.68,96.27,6.21,,,9.74,WACC vs ROIC,17.5,2.21,23.68,23.68,9.47,2.34,7/9,,,,155.1,3.29,0.99,,,17.86,62.84,2.9,1.61,10.29,1.33,5.41,20.98,9.7,9.68,,8.01,Beneish M-Score,0.55,146.02,ROIC,,8,"Acadia Healthcare Company, Inc.",70.09,-1.76594254,-1.26,Strong Sell,1461853,102461276.77000004,6460318360.000001,23.73840005,2.9982,Health Services,Medical/Nursing Services
22,ACHR,100.32,51.6,,,,,,,,43.28,,132.6,48.51,,,2.58,,2.68,,,,,,,,,-3.06,-3.09,-5.66,,-3.67,289,,-32.68,,,,,,,,,,,,,,5.86,,,,,,,,,,,,8.06,7.5,,,,,5.92,2.68,-83.67,-1580.6,-95.43,-102.67,,-1030.3,,0.34,,,,,Archer Aviation Inc.,6.45,-2.42057489,-0.16,Neutral,19090304,123132460.8,1649497955.0,,-1.9644,Electronic Technology,Aerospace & Defense
23,ACI,-20.8,73.99,-5.9,-15.9,,14.2,41.6,21.1,10.6,69.72,2.03,10.75,75.14,3.6,,0.03,0.02,0.78,31,26.03,3.07,3.09,7.27,Grey,0.22,2.04,12.3,5.91,51.77,9.97,6.24,0.35,0.36,8.13,0.08,2.04,8.41,28.26,4.85,2.23,27.9,4.51,,,1.85,WACC vs ROIC,2.72,6.78,11.48,11.48,0.45,0.17,4/9,,,,25.19,,,,,4.96,16.04,0.56,0.98,,0.16,5.2,15.02,12.1,56.12,,7.64,Beneish M-Score,-2.05,32.69,ROIC,,7,"Albertsons Companies, Inc.",23.54,0.17021277,0.04,Buy,17073025,401899008.5,13551493187.000002,11.59149104,2.0929,Retail Trade,Food Retail
24,ACIW,4.86,50.6,2.3,4.3,,14.6,29.6,8.3,5.5,50.52,,3.57,50.52,2.12,,0.17,0.12,1.32,,22.88,64.12,3.44,0.94,Grey,,,19.54,11.11,40.55,,,2.32,2.61,5.12,0.38,,15.9,20.1,,3.56,48.2,1.99,,,5.42,WACC vs ROIC,10.05,2.18,36.22,36.22,2.11,1.93,6/9,2.74,2.13,,29.56,,0.73,,,19.58,24,2.44,1.09,,1.32,2.36,106.59,7.89,6.26,,3.04,Beneish M-Score,0.98,29.43,ROIC,,10,"ACI Worldwide, Inc.",23.54,-1.54746968,-0.37,Neutral,1057937,24903836.98,2556336665.0,36.11537281,0.6548,Technology Services,Packaged Software
25,ACLS,174.72,39.56,-0.2,16.5,,87.5,121.9,,39.3,18.31,,36.94,32.29,11.93,,1.82,9.88,3.82,154.78,35.68,59.83,0.19,0.06,Grey,,,23.39,22.24,22.66,,15.53,4.12,5.35,4.28,0.66,,19.57,21.52,,14.06,42.67,40.72,,,20.19,WACC vs ROIC,21.93,7.4,26.99,26.99,0.82,5.48,7/9,,,,23.09,2.97,3.07,73.04,9.6,21.97,25.08,1.08,2.95,7.38,2.62,20.93,77.72,30.7,31.15,,38.11,Beneish M-Score,0.85,78.68,ROIC,,8,"Axcelis Technologies, Inc.",167.27,-6.49038462,-11.61,Sell,2875510,480986557.7000001,5489377800.999999,26.9594649,6.2921,Producer Manufacturing,Industrial Machinery
26,ACLX,72.98,38.13,-59.9,,,-46.1,-46,-10.1,,21.74,,22.6,32.07,1.97,,3.24,5.41,3.57,,,287.01,-0.53,0.32,Grey,,,-6.7,-6.76,11.37,-1185.9,-9.86,5.37,37.2,-14.93,0.47,,,,,,,,,,-567.25,,-601.9,5.44,,,,48.09,N/A/9,,,,14.82,,,9.03,7,13.51,,,,5.44,3.57,-40.2,-422.27,-49.2,-67.45,,-149.27,WACC vs ROIC,-4.69,,ROIC,,,"Arcellx, Inc.",33.06,-0.78031212,-0.26,Sell,539872,17848168.32,1598748014.0,,-4.0827,Health Technology,Biotechnology
27,ACM,22.96,40.67,4.1,-8.7,,11.5,27.4,-1.6,2.6,37.7,0.83,6.15,38.25,2.1,,0.22,0.45,1.1,,56.84,63.46,4.38,1.14,Grey,0.5,0.82,28.54,20.69,22.87,14.05,12.25,1.84,0.94,3.5,0.22,0.86,19.08,12.44,16.08,-7.86,6.52,5,,,0.97,WACC vs ROIC,5.42,4.75,87.43,60.82,30.41,0.83,7/9,,,,20.42,,2.13,,,16.21,74.73,7.51,1.55,,1.1,1.2,46.97,7.99,5.41,,8.55,Beneish M-Score,2.57,110.43,ROIC,,7,AECOM,83.93,-0.08333333,-0.07,Sell,1749841,146864155.13000005,11643339642.999998,88.57112706,0.9712,Industrial Services,Engineering & Construction
28,ACN,12.25,42.79,0.2,15.6,9.9,16.9,13.3,14,13,26.72,2.28,24.87,36.62,7.54,,0.5,2.76,1.37,,20.72,70.86,0.27,0.12,Grey,0.39,1.43,20.54,16.71,20.71,19.23,15.74,2.82,3.06,4.87,0.51,1.43,25.06,18.03,8.62,5.98,32.25,213.18,,,11.27,WACC vs ROIC,14.42,7.78,27.85,27.85,1.76,3.12,6/9,1.77,1.09,,21.32,4.74,1.19,,,20.15,25.83,1.95,1.56,18.14,1.37,15.03,206.74,30.67,30.99,,22.46,Beneish M-Score,2.08,37.88,ROIC,,10,Accenture plc,312.53,-1.28241574,-4.06,Sell,3339266,1043620802.9799998,207617355910.0,27.8497594,11.3506,Technology Services,Information Technology Services
29,ACT,23.93,40.06,,2.3,,9.7,1.2,3.8,3.7,23.08,2.19,33.24,32.13,,,,,,,,,,,,0.14,2.17,4.89,4.89,8.22,,,3.6,4.05,20.45,,2.32,7.26,,,3.42,,,,,61.14,,,1.02,6.62,6.62,,4.06,,,,,8.31,0.55,,1.1,,8.31,,,,1.02,,11.72,,,16.18,,13.8,,6.31,,,,4,"Enact Holdings, Inc.",27.59,-0.50486837,-0.14,Sell,293246,8090657.14,4414228260.0,6.62743214,4.181,Finance,Multi-Line Insurance
30,ACVA,69.35,42.22,-5.8,,,-0.5,-4.1,-2,49.8,30.14,,23.45,38.42,3.43,,1.45,4.77,2.18,,524.47,143.83,-1.57,0.22,Grey,,,-26.45,-31.82,-362.01,,,3.6,4.77,-3.78,0.51,,,,,20.38,47.52,,,,-18.33,WACC vs ROIC,-20.8,5.25,,,,5.59,6/9,,,,,,,62.4,8.57,119.18,,,,8.13,2.18,-8.68,-1053.26,-13.86,-16.68,,-56.32,Beneish M-Score,-1.89,,ROIC,,,ACV Auctions Inc.,15.6,-0.51020408,-0.08,Sell,3201931,49950123.6,2506975976.0,,-0.5176,Retail Trade,Internet Retail
31,ADBE,67.79,45.28,1.4,11.7,,20.9,19,24.3,18.1,26.89,,55.48,38.61,14.62,,0.82,1.61,1.16,,55.54,35.1,0.57,0.28,Grey,,,39.21,34.51,33.44,24.48,22.49,11.04,13.48,2.55,0.53,,29.94,22.17,14.23,10.86,87.77,56.74,,,26.34,WACC vs ROIC,33.64,16.35,50.47,50.47,2.01,13.29,7/9,1.61,1.06,,33.04,26.35,1.15,,,31.21,41.63,2.15,2.69,309.29,1.16,18.01,273.13,32.88,33.97,,19.6,Beneish M-Score,2.24,83.69,ROIC,,10,Adobe Inc.,528.89,-4.21435816,-23.27,Sell,9774264,5169623140.53,241068062221.0,47.59415073,11.1501,Technology Services,Packaged Software
32,ADC,-14.6,29.41,-25.5,10,7.2,7.5,-1.8,14.2,6.1,24.03,6.69,-10.32,26.27,1.63,,0.07,,0.74,,514.48,51.07,5,0.43,Grey,1.63,4.86,33.99,18.88,20.45,24.43,14.71,12.22,16.77,2.94,0.68,4.9,31.85,12.73,,24.68,87.66,3.27,,,33.7,WACC vs ROIC,48.63,1.15,33.79,33.79,4.83,10.86,4/9,2.93,1.01,13.89,13.15,1.45,0.87,,,13.15,,4.87,0.91,1.39,0.74,2.43,,3.61,3.55,,3.51,Beneish M-Score,-13.1,27.66,ROIC,,10,Agree Realty Corporation,59.47,-1.01531292,-0.61,Strong Sell,1532405,91132125.35,5725111028.0,33.8012959,1.7694,Finance,Real Estate Investment Trusts
33,ADEA,57.53,49,-28.5,-36.2,-37,45.3,,-20.7,-10.6,67.58,0.47,21.51,55.55,1.37,,0.98,0.13,2.33,90.48,157.6,178.33,2.34,1.96,Grey,0.22,2.01,10.49,5.9,8.73,,,4.02,10.79,9.53,0.29,2.01,,49.24,,,78.68,2.66,,,-192.38,WACC vs ROIC,105.87,3.28,,,,6.37,2/9,,,,6.03,,2.83,,,5.87,,,0.52,,2.33,-17.52,255.43,10.36,-43.06,,18.02,Beneish M-Score,10.25,99.5,ROIC,,4,Adeia Inc.,9.95,1.63432074,0.16,Buy,2338201,23265099.95,1062196184.9999998,,-2.732,Technology Services,Packaged Software
34,ADI,22.62,44.73,-11.4,31.1,12.2,16.4,12.9,10.8,12.6,48.42,3.19,-0.88,45.92,4.89,,0.41,0.17,1.71,122.4,46.06,47.8,1.05,0.19,Grey,0.44,1.87,22.04,14.32,25.84,23.9,17.09,8.65,7.43,4.54,0.73,1.93,21.23,14.69,8.85,0.13,65.23,18.14,,,29.23,WACC vs ROIC,34.03,2.47,24.21,24.21,2.42,7.05,6/9,1.63,1.23,,24.6,,1.07,,,18.99,22.12,2.15,1.49,,1.1,7.51,118.79,9.13,10.33,,8.67,Beneish M-Score,4.06,43.35,ROIC,,10,"Analog Devices, Inc.",178.14,-0.8515612,-1.53,Sell,6062468,1079968049.52,90112565563.0,24.20479096,7.4147,Electronic Technology,Semiconductors
