Ticker,GF Value,GFValuediff,AveragePriceTarget,SmartScore,Price,Market Capitalization,Sector,Industry,AveragePriceTarget_percent
YUM,141.15,8.69816333602866,136.38,10.0,129.855,36399423690.70926,Consumer Services,Restaurants,5.024835393323327
YPF,7.11,-59.06735751295338,15.65,5.0,17.37,8374599416.159535,Energy Minerals,Integrated Oil,-9.902130109383998
YOU,0.0,-100.0,26.57,6.0,21.98,3314699910.9815154,Technology Services,Packaged Software,20.882620564149224
YMM,0.0,-100.0,10.0,3.0,6.7,7268156739.0,Technology Services,Packaged Software,49.25373134328358
YETI,57.91,10.304761904761898,47.08,9.0,52.5,4559776442.307692,Producer Manufacturing,Miscellaneous Manufacturing,-10.323809523809528
YELP,44.93,-7.769680796469267,50.25,7.0,48.715,3335651140.2092667,Technology Services,Internet Software/Services,3.1509801909062847
XYL,108.49,-3.043031413378615,122.56,9.0,111.895,26975398116.76014,Producer Manufacturing,Industrial Machinery,9.531256981992051
XRX,20.16,8.387096774193541,13.5,6.0,18.6,2286051622.791689,Electronic Technology,Computer Peripherals,-27.41935483870968
XRAY,41.71,18.29268292682928,33.82,8.0,35.26,7470197318.234158,Health Technology,Medical Specialties,-4.083947816222342
XPRO,0.0,-100.0,23.5,4.0,16.53,1829408599.1883,Energy Minerals,Oil & Gas Production,42.165759225650326
XPO,41.95,-53.01825512375406,92.0,8.0,89.29,10355244375.485336,Transportation,Trucking,3.035054317392758
XPEV,29.84,113.7505193335339,18.65,7.0,13.9602,13156686950.144005,Consumer Durables,Motor Vehicles,33.59407458345867
XPEL,92.1,61.60729952623265,79.33,5.0,56.99,1574574114.6051562,Consumer Durables,Automotive Aftermarket,39.19985962449552
XP,65.38,153.8043478260869,29.17,7.0,25.76,14118624404.71605,Finance,Investment Banks/Brokers,13.237577639751551
XOM,106.91,4.332975505025859,129.0,7.0,102.47,410508492877.4048,Energy Minerals,Integrated Oil,25.890504537913536
XNCR,27.88,33.14231136580705,38.75,7.0,20.94,1274726686.9755385,Health Technology,Biotechnology,85.05253104106971
XMTR,0.0,-100.0,26.71,9.0,34.22,1644988240.581382,Producer Manufacturing,Metal Fabrication,-21.94623027469316
XHR,27.27,98.90590809628006,14.33,6.0,13.71,1431786459.0,Finance,Real Estate Investment Trusts,4.522246535375632
XENE,0.13,-99.69767441860463,55.6,7.0,43.0,3177323683.2169514,Health Technology,Pharmaceuticals: Major,29.302325581395355
XEL,76.0,22.69938650306749,64.3,6.0,61.94,34179499964.02536,Utilities,Electric Utilities,3.810138844042621
X,25.43,-47.02635142172691,35.67,9.0,48.005,7738306209.207539,Non-Energy Minerals,Steel,-25.69524007915842
WYNN,161.24,78.44178840194778,114.45,9.0,90.36,10205799930.507936,Consumer Services,Casinos/Gaming,26.66002656042497
WY,30.06,-12.489082969432324,37.14,5.0,34.35,24900333756.0,Finance,Real Estate Investment Trusts,8.122270742358076
WWD,144.0,7.031366136464998,144.83,7.0,134.54,8080211533.831537,Producer Manufacturing,Industrial Machinery,7.648283038501576
WU,15.78,32.54934901301974,13.69,7.0,11.905,4337694041.307239,Finance,Finance/Rental/Leasing,14.99370012599748
WTW,282.37,18.08221469493581,250.7,6.0,239.13,24692661637.127502,Finance,Insurance Brokers/Services,4.838372433404421
WTS,170.63,-18.15914432346876,195.0,10.0,208.49,6948188685.475141,Producer Manufacturing,Industrial Machinery,-6.470334308599937
WTRG,56.1,49.8797755810847,44.4,7.0,37.43,10224595758.625645,Utilities,Water Utilities,18.621426663104454
WTFCP,0.0,-100.0,,,24.9,5682743119.0,Finance,Regional Banks,
WTFCM,0.0,-100.0,,,22.94,5682743119.0,Finance,Regional Banks,
WTFC,100.12,7.229302773910249,94.44,6.0,93.37,5717647898.933513,Finance,Regional Banks,1.145978365642062
WT,6.36,-5.216095380029801,8.15,6.0,6.71,1008750221.5343282,Miscellaneous,Investment Trusts/Mutual Funds,21.46050670640835
WST,389.14,8.979906182174613,391.0,8.0,357.075,26419862073.157864,Health Technology,Medical Specialties,9.50080515297907
WSO.B,325.59,-22.882520132638565,,,422.2,16577352099.606812,Producer Manufacturing,Building Products,
WSO,337.68,-21.14149599495574,404.67,9.0,428.21,16878746173.947458,Producer Manufacturing,Building Products,-5.497302725298327
WSM,156.83,-22.992315435417737,166.29,10.0,203.655,13063351053.731249,Retail Trade,Specialty Stores,-18.34720483170068
WSFS,57.65,24.932278686748283,43.0,7.0,46.145,2802472806.045691,Finance,Savings Banks,-6.8154729656517565
WSC,54.23,21.537427162707303,54.17,10.0,44.62,8550544076.26298,Finance,Finance/Rental/Leasing,21.40295831465712
WSBCP,0.0,-100.0,,,23.98,1836260636.0,Finance,Regional Banks,
WSBC,38.86,25.92352559948153,25.75,6.0,30.86,1832104856.9983835,Finance,Regional Banks,-16.558651976668827
WRK,48.26,15.206493196466932,40.5,5.0,41.89,10745108391.59962,Process Industries,Containers/Packaging,-3.3182143709715937
WRBY,0.0,-100.0,17.13,5.0,13.4,1573226912.6741574,Retail Trade,Specialty Stores,27.835820895522374
WRB/PH,0.0,-100.0,77.67,6.0,20.32,17989154047.0,Finance,Property/Casualty Insurance,282.23425196850394
WRB/PG,0.0,-100.0,77.67,6.0,21.63,17989154047.0,Finance,Property/Casualty Insurance,259.08460471567275
WRB/PF,0.0,-100.0,77.67,6.0,23.22,17989154047.0,Finance,Property/Casualty Insurance,234.49612403100772
WRB/PE,0.0,-100.0,77.67,6.0,24.46,17989154047.0,Finance,Property/Casualty Insurance,217.53883892068683
WRB,74.25,5.867256006273608,77.67,6.0,70.135,18085856064.884537,Finance,Property/Casualty Insurance,10.743565979895909
WPP,63.9,32.35294117647058,13.9,7.0,48.28,10211204494.107998,Commercial Services,Advertising/Marketing Services,-71.2096106048053
WPM,36.82,-27.016848364717543,52.99,9.0,50.45,22853656326.905304,Non-Energy Minerals,Precious Metals,5.034687809712585
WPC,85.37,30.29609279609281,60.59,4.0,65.52,14222418950.0,Finance,Real Estate Investment Trusts,-7.524420024420014
WOR,39.59,-32.04600068657741,50.0,7.0,58.26,2910986780.9617767,Non-Energy Minerals,Steel,-14.177823549605217
WOLF,123.44,174.49410718256615,44.0,3.0,44.97,5635879314.147058,Electronic Technology,Semiconductors,-2.1569935512563907
WNS,100.32,55.61932831769175,74.71,5.0,64.465,3030256042.0,Commercial Services,Miscellaneous Commercial Services,15.89234468316139
WNC,27.39,5.265180630284401,23.0,4.0,26.02,1199191663.315607,Producer Manufacturing,Trucks/Construction/Farm Machinery,-11.606456571867792
WMT,163.75,5.170199100834947,180.79,7.0,155.7,419180786413.0871,Retail Trade,Specialty Stores,16.114322414900453
WMS,116.57,-16.934478212847836,153.4,8.0,140.335,10933196435.707497,Producer Manufacturing,Miscellaneous Manufacturing,9.309865678554884
WMG,36.31,2.8611898016997315,38.18,6.0,35.3,18214637625.9932,Commercial Services,Commercial Printing/Forms,8.158640226628902
WMB,32.29,-8.031899743662775,38.5,7.0,35.11,42711269345.95597,Industrial Services,Oil & Gas Pipelines,9.655368840786103
WM,176.96,-0.1917653694303459,182.88,7.0,177.3,71412086593.58917,Industrial Services,Environmental Services,3.147208121827402
WLYB,47.89,41.77027827116637,,,33.78,1857182681.1958208,Consumer Services,Publishing: Books/Magazines,
WLK,118.09,-16.396460176991148,141.0,5.0,141.25,18099883071.29794,Process Industries,Chemicals: Specialty,-0.1769911504424778
WKC,39.35,69.61206896551725,22.0,5.0,23.2,1396682568.530559,Distribution Services,Wholesale Distributors,-5.172413793103446
WK,118.54,13.997211136221576,115.83,1.0,103.985,5620185137.233356,Technology Services,Information Technology Services,11.391066019137376
WIX,102.68,-16.6693718552183,123.73,9.0,123.22,7043389721.344761,Technology Services,Information Technology Services,0.4138938484012377
WIT,6.68,21.675774134790515,4.6,6.0,5.49,27182455762.82976,Technology Services,Information Technology Services,-16.2112932604736
WIRE,162.89,-24.6577243293247,237.5,10.0,216.2,3410837596.3152075,Producer Manufacturing,Electrical Products,9.851988899167443
WING,231.56,-9.078058740380088,230.0,5.0,254.68,7491391674.413279,Consumer Services,Restaurants,-9.690592115596043
WHR,172.26,44.938998737904924,103.75,5.0,118.85,6519280284.296518,Consumer Durables,Electronics/Appliances,-12.70509045014724
WHD,73.21,58.49751028361116,53.6,4.0,46.19,3635890607.287536,Industrial Services,Oilfield Services/Equipment,16.04243342714874
WH,76.17,-4.823191303261276,88.57,6.0,80.03,6639441269.577643,Consumer Services,Hotels/Resorts/Cruise lines,10.670998375609136
WGO,50.92,-29.43458980044345,78.0,6.0,72.16,2109806062.222222,Consumer Durables,Recreational Products,8.093126385809319
WFRD,41.26,-58.40516155048137,120.75,9.0,99.195,7153803910.448101,Industrial Services,Oilfield Services/Equipment,21.729925903523373
WFG,67.8,-19.867627939959817,90.55,5.0,84.61,6974536331.399202,Non-Energy Minerals,Forest Products,7.020446755702633
WFC/PZ,0.0,-100.0,51.64,8.0,20.21,179584583386.0,Finance,Major Banks,155.51707075705096
WFC/PY,0.0,-100.0,51.64,8.0,24.22,179584583386.0,Finance,Major Banks,113.21222130470686
WFC/PR,0.0,-100.0,51.64,8.0,25.07,179584583386.0,Finance,Major Banks,105.98324690865576
WFC/PL,0.0,-100.0,51.64,8.0,1193.69,179584583386.0,Finance,Major Banks,-95.67391868910688
WFC/PD,0.0,-100.0,51.64,8.0,18.13,179584583386.0,Finance,Major Banks,184.8317705460563
WFC/PC,0.0,-100.0,51.64,8.0,18.94,179584583386.0,Finance,Major Banks,172.6504751847941
WFC/PA,0.0,-100.0,51.64,8.0,20.25,179584583386.0,Finance,Major Banks,155.01234567901236
WFC,50.98,2.431183443841659,51.64,8.0,49.77,180746708091.4301,Finance,Major Banks,3.757283504118942
WEX,221.99,14.41014276142865,221.73,4.0,194.03,8292326098.990316,Commercial Services,Miscellaneous Commercial Services,14.276142864505484
WES,28.23,1.2917115177610312,31.0,7.0,27.87,10577122022.723827,Industrial Services,Oil & Gas Pipelines,11.230714029422314
WERN,50.4,17.715753824594188,40.62,4.0,42.815,2714254619.576923,Transportation,Trucking,-5.126707929463974
WEN,25.52,29.21518987341772,21.93,7.0,19.75,4073623345.197669,Consumer Services,Restaurants,11.037974683544302
WELL,80.14,-11.38876603272888,93.8,5.0,90.44,49784545314.0,Finance,Real Estate Investment Trusts,3.7151702786377694
WEC,104.71,26.12623464225488,88.23,9.0,83.02,26187375008.748272,Utilities,Electric Utilities,6.275596241869439
WDFC,227.9,-4.803675856307435,182.0,8.0,239.4,3245470014.342576,Process Industries,Industrial Specialties,-23.976608187134502
WDC,33.57,-35.922886046955526,50.54,8.0,52.39,16987099711.706758,Electronic Technology,Computer Peripherals,-3.531208245848447
WDAY,252.29,-8.494432555946462,275.07,10.0,275.71,72511728378.47362,Technology Services,Information Technology Services,-0.2321279605382417
WD,87.03,-18.99287941546051,101.67,7.0,107.435,3593720555.8038063,Finance,Finance/Rental/Leasing,-5.36603527714432
WCN,212.55,43.83839750964336,156.65,6.0,147.77,38071957815.53165,Transportation,Trucking,6.009338837382416
WCC/PA,0.0,-100.0,188.0,7.0,26.59,8958724104.0,Distribution Services,Wholesale Distributors,607.0327190673186
WCC,151.81,-13.62162162162162,188.0,7.0,175.75,8976600691.436716,Distribution Services,Wholesale Distributors,6.970128022759602
WBS/PG,0.0,-100.0,52.2,6.0,22.9237,9281468935.0,Finance,Savings Banks,127.7119313199876
WBS/PF,0.0,-100.0,52.2,6.0,18.33,9281468935.0,Finance,Savings Banks,184.7790507364976
WBS,57.62,12.572042590602706,52.2,6.0,51.185,9355494041.708843,Finance,Savings Banks,1.9830028328611908
WBD,16.67,44.95652173913045,16.23,10.0,11.5,28043504690.25239,Consumer Services,Cable/Satellite TV,41.1304347826087
WBA,44.18,69.27203065134098,25.88,4.0,26.1,22502558034.980816,Health Technology,Pharmaceuticals: Major,-0.8429118773946452
WB,19.92,89.71428571428574,17.04,1.0,10.5,2388939195.392,Technology Services,Internet Software/Services,62.28571428571428
WAT,355.17,6.98213801620531,276.64,9.0,331.99,19629565277.163265,Health Technology,Medical Specialties,-16.672188921353058
WAL/PA,0.0,-100.0,62.18,10.0,18.03,7111411548.0,Finance,Regional Banks,244.8696616749861
WAL,103.51,57.66945925361767,62.18,10.0,65.65,7186948400.957513,Finance,Regional Banks,-5.285605483625294
WAFDP,0.0,-100.0,,,15.34,2072736974.0,Finance,Major Banks,
WAFD,43.21,33.076686171850945,31.0,5.0,32.47,2083646115.9684207,Finance,Major Banks,-4.527255928549427
WABC,87.61,54.70598622638177,54.67,7.0,56.63,1509134815.2359552,Finance,Regional Banks,-3.4610630407911014
WAB,112.63,-11.314960629921265,130.86,7.0,127.0,22753212163.975647,Producer Manufacturing,Trucks/Construction/Farm Machinery,3.039370078740168
W,68.17,-0.4964231551260216,68.04,9.0,68.5101,8080606708.777036,Retail Trade,Specialty Stores,-0.6861761988378181
VZIO,7.91,5.326231691078567,9.6,9.0,7.51,1481093121.7194147,Technology Services,Internet Software/Services,27.82956058588549
VZ,49.92,32.88965792626116,39.41,8.0,37.565,157927076482.56354,Communications,Wireless Telecommunications,4.911486756289096
VYX,16.81,1.7554479418886146,21.4,9.0,16.52,2332623971.122363,Electronic Technology,Electronic Equipment/Instruments,29.539951573849876
VVX,40.64,-12.110726643598618,61.75,6.0,46.24,1442293261.5731122,Commercial Services,Miscellaneous Commercial Services,33.54238754325259
VVV,58.07,52.71531886916503,39.2,9.0,38.025,4942758958.339483,Consumer Services,Other Consumer Services,3.090072320841563
VTRS,9.82,-8.438228438228434,10.33,7.0,10.725,12866471234.3169,Health Technology,Pharmaceuticals: Major,-3.682983682983679
VTR,53.38,7.177994177291442,50.2,8.0,49.805,20445709054.0,Finance,Real Estate Investment Trusts,0.7930930629454936
VTLE,50.97,9.802046105226424,64.1,10.0,46.4199,1278454521.3271952,Energy Minerals,Oil & Gas Production,38.08732892574089
VTEX,0.0,-100.0,7.5,6.0,6.7,1266249866.3473053,Technology Services,Information Technology Services,11.940298507462684
VSTO,31.62,8.250599109893871,30.0,7.0,29.21,1696275216.293156,Consumer Durables,Recreational Products,2.704553235193424
VST,33.26,-12.173224188011618,40.0,10.0,37.87,13540507354.704683,Utilities,Electric Utilities,5.624504885133358
VSH,24.63,2.072109407376709,24.67,1.0,24.13,3338047874.2072563,Electronic Technology,Electronic Production Equipment,2.2378781599668573
VSEC,41.01,-35.97189695550352,75.67,9.0,64.05,1008613853.8897576,Industrial Services,Engineering & Construction,18.142076502732248
VSCO,0.0,-100.0,24.56,4.0,28.1876,2182705219.374432,Retail Trade,Apparel/Footwear Retail,-12.869488711348255
VSAT,41.68,55.92966704077815,37.83,7.0,26.73,3328079320.173018,Electronic Technology,Telecommunications Equipment,41.52637485970818
VRTX,343.88,-14.956969037491348,406.7,9.0,404.36,104196778817.60518,Health Technology,Pharmaceuticals: Major,0.5786922544267422
VRTS,216.47,-8.758693361433087,213.0,7.0,237.25,1704638594.524649,Finance,Investment Managers,-10.221285563751318
VRT,25.92,-46.726955091974105,51.33,6.0,48.655,18559036775.41396,Electronic Technology,Electronic Production Equipment,5.4978933305929445
VRSN,244.28,19.108683992393583,227.5,3.0,205.09,20939689375.152405,Technology Services,Internet Software/Services,10.926910137013016
VRSK,244.75,3.624200855243661,254.8,9.0,236.19,34244374099.27041,Technology Services,Data Processing Services,7.879249756551935
VRRM,20.43,-10.980392156862743,22.33,7.0,22.95,3816897724.9072847,Transportation,Other Transportation,-2.7015250544662357
VRNT,47.47,71.86821144098478,26.0,2.0,27.62,1740487223.3949945,Technology Services,Information Technology Services,-5.86531498913831
VRNS,40.91,-9.810405643738983,41.0,10.0,45.36,4942110735.735347,Technology Services,Information Technology Services,-9.611992945326277
VRNA,0.0,-100.0,32.33,5.0,17.0,1308617978.0,Health Technology,Pharmaceuticals: Major,90.17647058823528
VRE,20.06,25.53191489361701,17.4,5.0,15.98,1456177909.0,Finance,Real Estate Investment Trusts,8.886107634543167
VRDN,0.39,-98.26125724476148,38.38,7.0,22.43,1179504935.1380436,Health Technology,Pharmaceuticals: Major,71.11012037449845
VOYA/PB,0.0,-100.0,83.13,6.0,23.2,7730632172.0,Finance,Life/Health Insurance,258.31896551724134
VOYA,80.15,7.975212178364545,83.13,6.0,74.23,7754659812.534594,Finance,Life/Health Insurance,11.989761551933167
VOD,16.05,82.17934165720771,14.45,5.0,8.81,23700762360.344,Communications,Wireless Telecommunications,64.01816118047671
VNT,30.11,-12.737284451528772,37.43,10.0,34.505,5325076802.72569,Transportation,Other Transportation,8.47703231415736
VNOM,37.0,15.860341318302806,38.4,7.0,31.935,5679774351.858693,Energy Minerals,Integrated Oil,20.244246124941288
VNO/PO,0.0,-100.0,23.8,1.0,13.35,5622104575.0,Finance,Real Estate Investment Trusts,78.27715355805243
VNO/PN,0.0,-100.0,23.8,1.0,15.45,5622104575.0,Finance,Real Estate Investment Trusts,54.04530744336571
VNO/PM,0.0,-100.0,23.8,1.0,15.17,5622104575.0,Finance,Real Estate Investment Trusts,56.88859591298616
VNO/PL,0.0,-100.0,23.8,1.0,15.67,5622104575.0,Finance,Real Estate Investment Trusts,51.88257817485642
VNO,39.53,31.198141387321616,23.8,1.0,30.13,5622104575.0,Finance,Real Estate Investment Trusts,-21.00896116827082
VMI,310.56,34.96740547588006,264.0,5.0,230.1,4806929289.190503,Producer Manufacturing,Metal Fabrication,14.73272490221643
VMC,232.45,3.9719103636444943,245.3,7.0,223.57,29706505390.159668,Non-Energy Minerals,Construction Materials,9.719550923648082
VLYPP,0.0,-100.0,,,19.885,5528679828.0,Finance,Major Banks,
VLYPO,0.0,-100.0,,,23.7868,5528679828.0,Finance,Major Banks,
VLY,13.02,18.68732907930719,9.71,7.0,10.97,5569294555.845731,Finance,Major Banks,-11.485870556061984
VLTO,0.0,-100.0,88.43,6.0,80.75,19889376493.827045,Technology Services,Information Technology Services,9.510835913312702
VLRS,21.73,133.90742734122716,12.3,7.0,9.29,1017080493.69196,Transportation,Airlines,32.40043057050594
VLO,141.06,5.6075466047765286,148.57,9.0,133.57,45474298817.32467,Energy Minerals,Oil Refining/Marketing,11.230066631728684
VKTX,0.0,-100.0,34.0,9.0,18.7,1870541454.813992,Health Technology,Pharmaceuticals: Major,81.81818181818183
VIV,10.72,-1.7415215398716728,11.0,6.0,10.91,17962757880.0908,Communications,Specialty Telecommunications,0.824931255728688
VIST,16.51,-45.14950166112956,36.25,9.0,30.1,2900619249.667336,Energy Minerals,Oil & Gas Production,20.431893687707635
VIRT,14.4,-30.367504835589937,20.75,7.0,20.68,3291771792.428294,Finance,Investment Banks/Brokers,0.3384912959381058
VIR,3.36,-66.92913385826773,37.6,3.0,10.16,1366736313.4883718,Health Technology,Biotechnology,270.0787401574803
VIPS,16.41,-3.1286894923258624,18.42,9.0,16.94,9275992871.0,Retail Trade,Internet Retail,8.73671782762692
VICR,80.24,77.89562599351291,65.0,4.0,45.1051,2004934259.1962807,Electronic Technology,Electronic Components,44.10787250222258
VICI,40.55,28.70972861450563,34.45,10.0,31.505,32504998802.0,Finance,Real Estate Investment Trusts,9.347722583716884
VIAV,12.95,31.072874493927102,10.1,7.0,9.88,2197258361.0961146,Technology Services,Information Technology Services,2.226720647773268
VFS,0.0,-100.0,9.5,3.0,8.1535,19015830368.995502,Consumer Durables,Motor Vehicles,16.514380327466743
VFC,47.23,158.08743169398903,18.82,6.0,18.3,7116565740.827694,Consumer Non-Durables,Apparel/Footwear,2.841530054644806
VET,10.99,-13.532651455546818,17.79,2.0,12.71,2080626999.23801,Energy Minerals,Oil & Gas Production,39.968528717545226
VERX,22.85,-14.07319384485793,29.78,6.0,26.5924,4068275254.705734,Technology Services,Packaged Software,11.986883470465244
VERV,0.0,-100.0,41.0,10.0,14.685,1153493026.9769342,Health Technology,Biotechnology,179.19645897173987
VEEV,239.26,27.208442991200776,208.35,9.0,188.085,30284630260.04467,Technology Services,Packaged Software,10.774383922162844
VECO,24.66,-20.554123711340203,33.0,5.0,31.04,1748847559.6874394,Electronic Technology,Electronic Production Equipment,6.314432989690725
VCYT,36.12,26.78132678132678,31.2,3.0,28.49,2080900296.2502675,Health Technology,Medical Specialties,9.512109512109516
VCTR,31.33,-8.76528829353525,37.0,6.0,34.34,2266077189.8672514,Finance,Investment Managers,7.7460687245195
VCEL,40.79,11.600547195622442,42.13,2.0,36.55,1744332102.7619717,Health Technology,Pharmaceuticals: Major,15.26675786593709
VC,159.2,24.12287540932481,159.45,5.0,128.26,3567064896.78,Producer Manufacturing,Auto Parts: OEM,24.317791985030407
VBTX,40.02,70.19141218046585,23.75,8.0,23.5147,1277375586.786232,Finance,Regional Banks,1.0006506568231732
VALE,14.89,-6.322743000943687,17.58,8.0,15.895,67626705656.118,Non-Energy Minerals,Steel,10.600817867253848
VAL,73.65,6.70820052158796,99.75,5.0,69.02,5031224275.238345,Industrial Services,Contract Drilling,44.52332657200812
VAC,184.06,108.68480725623584,105.71,5.0,88.2,3132617505.371845,Consumer Services,Other Consumer Services,19.852607709750558
V,275.0,5.521660719082148,281.94,7.0,260.61,523849296059.2641,Commercial Services,Miscellaneous Commercial Services,8.184643720501892
UZF,0.0,-100.0,,,17.87,3502000065.0,Communications,Wireless Telecommunications,
UZE,0.0,-100.0,,,18.01,3502000065.0,Communications,Wireless Telecommunications,
UZD,0.0,-100.0,,,19.3009,3502000065.0,Communications,Wireless Telecommunications,
UWMC,0.43,-94.02777777777776,5.5,7.0,7.2,11489212939.776537,Finance,Finance/Rental/Leasing,-23.611111111111114
UUUU,43.5,453.78739656269886,9.68,7.0,7.855,1266634025.085984,Non-Energy Minerals,Other Metals/Minerals,23.23360916613621
UTZ,17.57,14.016872160934458,17.1,9.0,15.41,2164957257.380392,Consumer Non-Durables,Food: Specialty/Candy,10.9669046073978
UTHR,258.77,16.710265199350523,285.36,4.0,221.72,10419421806.676502,Health Technology,Pharmaceuticals: Major,28.70286848277107
UTG,0.0,-100.0,,,26.37,1925560000.0,Miscellaneous,Investment Trusts/Mutual Funds,
USPH,105.19,10.995040624670256,103.33,4.0,94.77,1420321960.421506,Health Services,Medical/Nursing Services,9.032394217579403
USM,29.69,-27.440601003954225,38.0,7.0,40.9182,3478047064.555413,Communications,Wireless Telecommunications,-7.131789765923229
USFD,39.72,-11.87042378522299,49.88,6.0,45.07,11080528970.277246,Distribution Services,Food Distributors,10.672287552695812
USB/PS,0.0,-100.0,44.53,10.0,19.76,67434206112.0,Finance,Major Banks,125.35425101214574
USB/PR,0.0,-100.0,44.53,10.0,17.42,67434206112.0,Finance,Major Banks,155.62571756601605
USB/PQ,0.0,-100.0,44.53,10.0,16.65,67434206112.0,Finance,Major Banks,167.4474474474475
USB/PP,0.0,-100.0,44.53,10.0,23.53,67434206112.0,Finance,Major Banks,89.24776880577986
USB/PH,0.0,-100.0,44.53,10.0,20.94,67434206112.0,Finance,Major Banks,112.65520534861508
USB/PA,0.0,-100.0,44.53,10.0,852.0,67434206112.0,Finance,Major Banks,-94.77347417840376
USB,56.23,28.82016036655212,44.53,10.0,43.65,67963590320.68344,Finance,Major Banks,2.0160366552119187
USAC,21.62,-12.060199308521456,23.5,2.0,24.585,2416686840.819063,Industrial Services,Oilfield Services/Equipment,-4.413260117958108
USA,0.0,-100.0,,,6.39,1738360000.0,Miscellaneous,Investment Trusts/Mutual Funds,
URI,501.41,-12.59685361920947,504.56,5.0,573.675,38884527598.53179,Finance,Finance/Rental/Leasing,-12.04776223471477
URBN,34.46,-4.754007739082363,39.0,7.0,36.18,3356937582.327896,Retail Trade,Apparel/Footwear Retail,7.79436152570481
UPWK,25.67,73.59256128486899,16.33,8.0,14.7875,2012719250.272512,Commercial Services,Personnel Services,10.431107354184268
UPST,29.15,-36.64420778091719,22.5,1.0,46.01,3913487409.371429,Technology Services,Internet Software/Services,-51.0975874809824
UPS,181.49,14.504731861198744,167.65,7.0,158.5,135030213884.12764,Transportation,Air Freight/Couriers,5.772870662460571
UPBD,29.96,-11.03192279138826,36.33,6.0,33.675,1828379264.475664,Finance,Finance/Rental/Leasing,7.884187082405349
UNP,259.56,6.551724137931038,247.81,6.0,243.6,148497944832.27454,Transportation,Railroads,1.728243021346473
UNMA,0.0,-100.0,,,24.88,8732193349.0,Finance,Multi-Line Insurance,
UNM,35.48,-21.225577264653648,55.75,4.0,45.04,8784855672.078623,Finance,Multi-Line Insurance,23.77886323268206
UNIT,10.53,91.80327868852456,5.25,4.0,5.49,1303149696.0,Finance,Real Estate Investment Trusts,-4.371584699453556
UNH,585.35,12.496045774080816,589.75,9.0,520.3294,481265827255.5642,Health Services,Managed Health Care,13.341663953641682
UNF,224.93,23.90106863501158,171.25,5.0,181.54,3267602855.0382185,Consumer Services,Other Consumer Services,-5.668172303624541
UMC,7.42,-7.191994996873047,10.2,6.0,7.995,19809619542.26816,Electronic Technology,Semiconductors,27.579737335834885
UMBF,94.7,12.992058340651372,75.4,5.0,83.8112,4067424268.7488728,Finance,Major Banks,-10.035890191287075
ULTA,574.89,20.8501066837641,537.2,6.0,475.705,23100955936.38021,Retail Trade,Specialty Stores,12.927129208227802
ULCC,18.65,240.95063985374773,6.35,4.0,5.47,1209218569.1900368,Transportation,Airlines,16.08775137111517
